time_s,Voltage_5
0.0,-0.030482
0.001,-0.091566
0.002,-0.091566
0.003,-0.152649
0.004,-0.091566
0.005,-0.122107
0.006,-0.122107
0.007,0.030601
0.008,0.030601
0.009,0.061142
0.01,0.152767
0.011,0.244392
0.012,0.122226
0.013,0.122226
0.014,0.183309
0.015,0.122226
0.016,0.061142
0.017,5.9247e-05
0.018,5.9247e-05
0.019,0.030601
0.02,-0.061024
0.021,-0.091566
0.022,-0.152649
0.023,-0.18319
0.024,-0.152649
0.025,-0.061024
0.026,-0.061024
0.027,5.9247e-05
0.028,-0.030482
0.029,0.091684
0.03,0.21385
0.031,0.21385
0.032,0.183309
0.033,0.122226
0.034,0.122226
0.035,0.091684
0.036,0.091684
0.037,0.030601
0.038,5.9247e-05
0.039,5.9247e-05
0.04,-0.091566
0.041,-0.061024
0.042,-0.122107
0.043,-0.091566
0.044,-0.122107
0.045,-0.061024
0.046,-0.030482
0.047,5.9247e-05
0.048,0.091684
0.049,0.030601
0.05,0.21385
0.051,0.21385
0.052,0.183309
0.053,0.091684
0.054,0.122226
0.055,0.122226
0.056,0.061142
0.057,0.061142
0.058,0.061142
0.059,-0.030482
0.06,-0.030482
0.061,-0.061024
0.062,-0.152649
0.063,-0.152649
0.064,-0.122107
0.065,-0.091566
0.066,-0.030482
0.067,5.9247e-05
0.068,0.061142
0.069,0.061142
0.07,0.122226
0.071,0.21385
0.072,0.244392
0.073,0.183309
0.074,0.091684
0.075,0.122226
0.076,0.061142
0.077,0.030601
0.078,5.9247e-05
0.079,5.9247e-05
0.08,-0.061024
0.081,-0.061024
0.082,-0.122107
0.083,-0.122107
0.084,-0.061024
0.085,-0.122107
0.086,-0.030482
0.087,5.9247e-05
0.088,0.061142
0.089,0.030601
0.09,0.122226
0.091,0.21385
0.092,0.122226
0.093,0.122226
0.094,0.122226
0.095,0.152767
0.096,0.091684
0.097,0.091684
0.098,0.030601
0.099,5.9247e-05
0.1,-0.030482
0.101,-0.030482
0.10200000000000001,-0.091566
0.10300000000000001,-0.122107
0.10400000000000001,-0.152649
0.10500000000000001,-0.122107
0.10600000000000001,-0.091566
0.10700000000000001,5.9247e-05
0.10800000000000001,5.9247e-05
0.109,0.061142
0.11,0.122226
0.111,0.183309
0.112,0.152767
0.113,0.152767
0.114,0.183309
0.115,0.122226
0.116,0.091684
0.117,0.091684
0.11800000000000001,0.030601
0.11900000000000001,0.030601
0.12000000000000001,5.9247e-05
0.12100000000000001,-0.091566
0.122,-0.061024
0.123,-0.152649
0.124,-0.091566
0.125,-0.122107
0.126,-0.061024
0.127,-0.061024
0.128,-0.030482
0.129,0.030601
0.13,0.152767
0.131,0.21385
0.132,0.122226
0.133,0.152767
0.134,0.21385
0.135,0.091684
0.136,0.091684
0.137,0.091684
0.138,0.030601
0.139,5.9247e-05
0.14,-0.030482
0.14100000000000001,-0.030482
0.14200000000000002,-0.122107
0.14300000000000002,-0.213732
