Time (s),Average Resistance (Ohms)
0,36452478.2780752
1,37191740.612864956
2,35658240.975345455
3,35958592.293075934
4,36635828.85052435
5,35896277.60764969
6,36046136.472940065
7,36296127.61629601
8,36115335.838619374
9,35898805.064959325
10,36607923.84594402
11,36060777.872325085
12,36732737.60782134
13,36069500.42470788
14,36369356.21097139
15,37245020.24518261
16,36008711.89778463
17,36559008.5838461
18,37003062.423252486
19,36710363.09050663
20,36432916.01160228
21,36568934.785912186
22,36687869.56683746
23,36483318.05844469
24,37261970.410940535
25,36608061.298849605
26,37882079.482575975
27,36795076.987371884
28,36898355.8082547
29,37544303.493642844
30,36509018.55927501
31,37029103.190889075
32,37088406.97568903
33,36346414.06092026
34,36999281.390917525
35,37172931.44277759
36,36180132.034638666
37,36978512.19791882
38,37448685.86581199
39,36750613.25036969
40,37362260.21392871
41,36181570.362704456
42,36740341.556535915
43,37172815.75951686
44,36969471.66917956
45,36409160.385616735
46,37045506.92172579
47,36864229.1467674
48,36722329.23862114
49,37201775.61505584
50,37111108.34711143
51,36991415.94815262
52,37332662.67719189
53,36863993.9864165
54,37958051.258175865
55,36523479.848676726
56,36799478.39256338
57,37227696.995173655
58,36923430.30936125
59,36706579.21355333
60,37143585.12130902
61,36349790.48045171
62,36618168.48008272
63,37161465.953213
64,36735890.34633283
65,36421790.61516398
66,37006753.15743221
67,36520032.2709348
68,37284811.241802834
69,36493203.914083056
70,36323683.76970692
71,36780764.865080215
72,36440289.859594524
73,36709701.57131923
74,37683455.43630102
75,36772244.37401442
76,36850086.862819076
77,37176886.2253575
78,36798159.75002976
79,36726429.13775215
80,36562669.268683955
81,36819976.85657241
82,37217485.591877945
83,36507205.84004687
84,36670886.36867327
85,37181254.68026142
86,37276013.64699922
87,36934425.398968615
88,37166203.603480935
89,36573943.28283042
90,37215269.69216268
91,37714631.41047291
92,36891697.144281365
93,36467521.27030381
94,37156070.5605982
95,37448854.05126335
96,37481154.542492986
97,36778553.32255539
98,37075867.42378463
99,37091387.20638612
100,37556091.63309368
101,36882293.49663616
102,36761494.32890766
103,36925985.660237044
104,36988861.029903464
105,37487514.31661371
106,37088168.84670595
107,37176439.571761
108,37341986.79059452
109,36828265.284256116
110,37931432.55634822
111,36439054.88153134
112,37345550.4020568
113,37410519.51841669
114,36840485.83956831
115,36667874.279225655
116,37259423.72610839
117,37334038.29403222
118,37159185.704836585
119,37790655.61085149
120,36600593.15306201
121,37294556.01402371
122,37848546.09374504
123,36524796.60430013
124,37121295.23428354
125,36416812.01063588
126,37394640.20160848
127,37439434.606604956
128,36939462.11201708
129,37283220.92460926
130,37265746.38239236
131,37631507.96663285
132,37359253.310127884
133,38186933.25037315
134,37223718.65104448
135,37105990.1401685
136,37200604.89684874
137,37111223.8894467
138,37221118.085859686
139,36977879.83366044
140,37300678.684961244
141,37153736.16421949
142,37367978.709527865
143,37293735.23128181
144,37555842.175468326
145,37083969.54332853
146,36928551.902185656
147,37279814.728609964
148,37436042.462088145
149,37110195.0380041
150,37614827.6159227
151,37172665.21513699
152,37466766.45887548
153,37333864.35969358
154,37095435.71547324
155,37444929.01495268
156,37030114.73543433
157,37249207.71409497
158,37443801.43705208
159,36900637.562049486
160,37026852.95124327
161,37406148.39051624
162,37079402.305494584
163,36940560.39503877
164,38137275.12901916
165,37364840.7563225
166,37236797.67504553
167,37048582.45734485
168,37393306.05560594
169,37271131.50091701
170,37040295.41966472
171,37433069.85495939
172,37551859.77713099
173,37333194.22784589
174,37217165.51907935
175,37728994.66416575
176,37216269.01577391
177,37197926.918619
178,37659471.55433518
179,37075200.58334451
180,37181249.977761276
181,37628758.857058406
182,37825941.33243029
183,38136160.77142288
184,37307945.92744045
185,37101961.42902675
186,37530292.536946416
187,37746719.15943104
188,37286018.99365119
189,37634777.6739536
190,37539729.942729905
191,37283812.43501403
192,37356132.05409882
193,37124526.72823431
194,37361536.79505509
195,36773041.11567702
196,37379803.89211765
197,37794043.08814739
198,37478978.25546402
199,37382984.941072315
200,37779280.61237901
201,37191721.19855972
202,37784514.03948131
203,37872994.55533258
204,37143765.31252473
205,37292808.18869253
206,37706039.67540831
207,37119572.857651256
208,37502475.29547284
209,37137955.255380005
210,37443482.35375496
211,37731513.59346918
212,37402614.85714227
213,37334275.77382105
214,37640525.25917943
215,37076849.4505837
216,37373461.614829555
217,38036786.87708464
218,37421966.22157581
219,37315327.82057716
220,37658673.52185923
221,37689853.8640035
222,37342649.296153285
223,36735644.44933876
224,37342629.50470962
225,37719724.83466516
226,37540451.2769615
227,37387746.109556876
228,37824229.85806955
229,37510147.17226849
230,37703483.99393664
231,37870148.43211687
232,37268011.9457732
233,37333929.1366646
234,37333061.54564712
235,37362639.39612342
236,37358955.8043747
237,37147887.04462993
238,38166328.58888068
239,37991679.77354021
240,37291597.483962685
241,37356259.10668083
242,37767505.55184612
243,38011957.44003646
244,37382881.32511331
245,37865646.31002524
246,37323613.70437868
247,37931405.951875314
248,38063427.939000726
249,37092721.50912333
250,37570464.4219587
251,37445686.50275476
252,37875665.201434195
253,38552364.71837298
254,37306670.04739413
255,37151906.238014154
256,37867052.671789214
257,37678531.518070504
258,37223727.20839376
259,37601503.58777876
260,37198613.07267283
261,37248715.21216267
262,38411619.53475123
263,37429117.20849047
264,37674144.76640092
265,37861592.89585618
266,37769090.908706464
267,37955034.42575257
268,36924782.09932148
269,37481321.96265109
270,37329813.934654914
271,37406799.18576436
272,37248366.64745806
273,37694110.620341584
274,36851094.39464975
275,37966270.96978649
276,37678579.37862118
277,37358241.25581467
278,37324618.87717447
279,37782145.28653041
280,37619451.78223437
281,37434824.95406933
282,37077230.286537945
283,37330274.87910024
284,37865672.06170502
285,37763724.02910917
286,37647782.761998385
287,38166968.86795492
288,37568335.54813133
289,37430520.45061323
290,37649195.905320205
291,37125093.34375352
292,37242060.157666035
293,37830747.28284936
294,37552648.84772612
295,37647228.057774365
296,37379795.44600396
297,37233263.958808504
298,38369278.11097397
299,37335204.23913175
300,37707755.877229236
301,37965793.50205904
302,37437386.989304505
303,37403855.36737015
304,37715975.259563565
305,37484660.30280923
306,37555066.76554919
307,37960875.57762738
308,37492838.295717016
309,37376018.479771316
310,37321968.314775184
311,37404248.66147733
312,37851343.08258977
313,37102525.01399647
314,37498918.99558445
315,37399558.10553614
316,37409439.994915426
317,37454916.54315966
318,37735714.1440503
319,37290114.88534697
320,37384537.48137467
321,37684165.63248473
322,37379460.77521087
323,37712384.70973961
324,37057841.29055591
325,37731435.13202362
326,37792963.4690482
327,37215329.198925704
328,37465782.33578718
329,37852628.66367715
330,37565665.193398565
331,37199503.651416525
332,38124346.25293997
333,37378604.171833344
334,37492086.15764768
335,38213405.75781283
336,37597325.274145514
337,37347654.69319404
338,37312525.357644305
339,37945268.712877415
340,37777930.4584142
341,37458232.66463443
342,37471615.73340732
343,37874734.79811338
344,37433050.09646772
345,37250089.599714875
346,37919420.83179311
347,37223981.8621645
348,37473641.377443
349,38274225.936388776
350,37334196.75831237
351,37787669.21361903
352,37615542.61160545
353,37447429.10487004
354,38286212.92650187
355,37230498.53088206
356,37212689.12857199
357,37694083.14260107
358,37339964.02868768
359,37622805.12875946
360,38101309.66020228
361,37757611.36471879
362,37567455.765015505
363,37917926.24331886
364,37626638.64509168
365,37800137.40900881
366,38105203.163314685
367,37684234.54848325
368,38137996.920975834
369,37389055.69887152
370,37588483.361136176
371,37680670.16208783
372,37859707.08755317
373,37470579.78632441
374,37878462.98721536
375,37582445.50010233
376,37392099.258681074
377,38069607.13011929
378,37295136.35284251
379,37351958.048496604
380,38394905.22856361
381,37158220.18855341
382,37914782.58235984
383,37804536.254783936
384,37784543.49729036
385,37800903.7397927
386,37746333.97340103
387,37219502.5026601
388,37766477.97012623
389,37404409.98595923
390,37519695.81367247
391,38177795.678639576
392,37589063.4364995
393,37621228.00078644
394,38312546.873414546
395,37568202.20669914
396,37404919.90072751
397,37088145.304922655
398,37646505.67116753
399,38388282.11732336
400,37375209.496265784
401,37163246.00555876
402,37861702.19674821
403,37635257.46016802
404,37614814.00832617
405,38239651.625696935
406,37466183.67469841
407,37475305.35406783
408,37973929.007069826
409,37762964.13397896
410,37591204.636243895
411,37099161.581176415
412,37553004.779001884
413,38134554.16902822
414,37275184.51569593
415,37387641.80113122
416,38088617.78699162
417,37858649.71098854
418,37701828.77037617
419,38411435.30387878
420,38015990.35020772
421,37641007.55429448
422,38251329.577898405
423,37403669.48084933
424,37285657.275559366
425,37992840.05648312
426,37256643.496064276
427,38483301.34674685
428,37388038.30159849
429,37492513.50385894
430,38080701.66741445
431,37839476.246794134
432,37709861.39882202
433,38128362.11658575
434,37721167.43199339
435,37939575.47658723
436,38119656.359979324
437,37916765.63817081
438,37682706.54152286
439,38141484.332291275
440,37990461.88985285
441,37856493.65429244
442,37450670.22580179
443,37608787.685892835
444,38366270.19216198
445,37672305.259413674
446,37337228.05885475
447,38163168.369549066
448,37540120.659461565
449,37571658.76368943
450,38136968.01021113
451,37698502.36240521
452,38297468.26950541
453,37784104.65384191
454,37407432.667203784
455,37296060.326093465
456,37792012.6109855
457,38000623.33106731
458,38227408.502592586
459,37746087.937393025
460,37714937.47947639
461,38019356.58987181
462,38004158.28233798
463,37228137.08444797
464,38093474.13512899
465,37164364.44242187
466,38046136.188834496
467,38648995.545695685
468,38237385.3181126
469,37791308.37610215
470,37635436.08145882
471,39040197.493403785
472,38186748.85595341
473,37827500.81660969
474,37341308.284922674
475,37441945.60715302
476,38414679.20914955
477,37715594.06760463
478,38184548.99106584
479,37442420.725894265
480,37620161.109540455
481,38616928.586481705
482,37346300.596167125
483,37576901.35407957
484,38364769.57637597
485,37865936.61235567
486,38498341.64178412
487,37443206.583029576
488,37896376.31197746
489,38049975.40764247
490,37544140.267106146
491,37494189.61611867
492,38089994.04534063
493,37490820.4774124
494,37890094.89103533
495,38240945.232277945
496,37886952.304772735
497,37741866.583091244
498,38194093.88955975
499,37966657.22278816
500,37861865.787139826
501,37331793.67570831
502,37456873.999389306
503,38458972.13188815
504,37691146.01987881
505,37718027.12145924
506,38599186.50840792
507,36886310.066271186
508,37723387.42970276
509,38401201.86928332
510,38468827.166826285
511,38024793.80203602
512,38031434.50488676
513,37918363.38246187
514,37953211.54245799
515,37296599.646651044
516,37845542.374905124
517,38275234.28944336
518,37962275.625222
519,38001558.56480688
520,38469462.85327388
521,38202064.79419437
522,38062663.26825053
523,38537931.039276555
524,37849730.21066841
525,38128525.156948276
526,38139349.80968837
527,37505351.80933771
528,37744066.285845906
529,37797498.93260045
530,38130142.52515483
531,38087106.344871454
532,37740581.35839122
533,38132333.78395917
534,38192825.69477933
535,37543052.08596009
536,37871813.25564134
537,38412434.87200885
538,38089076.11055309
539,37770256.97415962
540,38782176.82295677
541,37738200.33676625
542,38328318.20889194
543,38257435.638276145
544,37703338.83826661
545,39154082.80038317
546,37499704.43530741
547,37929756.7956883
548,38288122.023420274
549,38083345.32696766
550,37983302.01692441
551,38241200.97972948
552,37682485.257414125
553,37751054.02205508
554,37711022.23409907
555,37717406.13605292
556,37459697.62565738
557,38469657.28167324
558,38013667.5983434
559,38133122.568295866
560,37411359.16387379
561,37548357.916589096
562,38123440.18298656
563,37684475.94342892
564,37882980.12861968
565,38365982.4509363
566,37718232.35853629
567,37807816.388263
568,38406956.33137782
569,38074701.91475528
570,37809325.285055935
571,37931296.12771821
572,37720171.369366564
573,37733233.94220208
574,38128032.355761334
575,37775449.166761085
576,38349817.58211191
577,38257328.788897365
578,38036298.102192834
579,37995109.50748711
580,37765234.214037515
581,37867442.90765857
582,38480497.971773505
583,37973879.677285396
584,37917451.97039048
585,38541279.774902366
586,37781034.33936313
587,37885613.09398494
588,38201102.02738493
589,37852187.511759944
590,38364115.45647343
591,37929456.14274292
592,37963473.25626682
593,37975190.31772517
594,37865186.121643946
595,38135378.51700806
596,38512590.05913344
597,38359016.11082341
598,38495850.99090871
599,38718588.014202155
600,37939864.53805819
601,37939726.93336827
602,38284191.49023399
603,38364764.516832754
604,39015413.26783297
605,37856605.7693916
606,38194096.51517795
607,38425213.540683225
608,38495794.15660046
609,37993933.778300695
610,38657372.63508741
611,37793572.93296741
612,38308015.025483444
613,38251203.47179794
614,37717069.96849974
615,38007657.61791115
616,38776443.98748041
617,38325968.99158373
618,37821359.41949536
619,37841647.47412349
620,37881832.20261061
621,39117021.188400626
622,37996007.78334488
623,37959325.309884354
624,38229502.33318158
625,37715302.523759216
626,38540352.91674605
627,38419155.250666186
628,37774742.14452925
629,38037766.77298418
630,38611920.86480221
631,38537973.876963675
632,37681481.56339194
633,38147322.543805346
634,37945772.84369639
635,38717671.15193037
636,38431719.675461754
637,38354567.310627915
638,38606472.005630545
639,38256725.899946846
640,37787724.215400375
641,38809158.12197624
642,38032158.585088335
643,38058032.30094462
644,38597337.933968425
645,37983485.0204621
646,38739731.50077757
647,38672158.40694765
648,37795112.038844995
649,38334319.248657055
650,37723740.13274469
651,38564520.645805314
652,38267703.13341957
653,37710681.104180746
654,38201170.74117265
655,38552289.62325373
656,38029659.79477373
657,37941862.501806006
658,38706064.61440155
659,38288704.54535486
660,38535267.55896447
661,38957423.00104771
662,38087564.23523004
663,38160865.64235921
664,38077600.38520215
665,38075164.3926373
666,38331799.71892999
667,37974905.407265976
668,38641340.86461358
669,38846506.47722058
670,38294262.59365044
671,38153914.91119567
672,38782351.797285706
673,37829585.624725856
674,37877829.417658925
675,38610149.040932104
676,37955575.15554925
677,38388243.39109504
678,39096073.82456279
679,38700573.51218351
680,38527408.876457475
681,37713798.5280245
682,38039837.29251741
683,38405447.78157527
684,38358647.884180866
685,38120299.22501491
686,38664965.61581275
687,38615708.083852656
688,38452391.14405434
689,39178216.87890567
690,37996080.32378145
691,38128377.83815001
692,38021774.479451925
693,37946973.650029145
694,38488466.24920322
695,38209482.94454183
696,38229211.77334551
697,39262824.39069763
698,38424362.5935788
699,37852135.39725426
700,38764514.608281255
701,38366118.93430321
702,38000738.336411305
703,39003923.395322524
704,38394350.477498755
705,38079447.39911797
706,38539896.46329367
707,38000998.46129901
708,38572553.5472817
709,38391497.394837715
710,38066540.96124091
711,38210311.529377915
712,37892298.84188128
713,38663129.019023046
714,38829865.613853246
715,38236641.37213567
716,38113999.36850827
717,38487640.81221177
718,38836327.95736028
719,38475695.62614633
720,38450490.92235914
721,38123426.27799925
722,38123211.90986849
723,39028327.32462816
724,38633504.25811905
725,38497740.77055486
726,38314295.503209114
727,38232736.727477044
728,39196811.59627726
729,37986237.431817204
730,38142554.101569325
731,38595817.56093581
732,38516690.4750049
733,38511248.72230416
734,38928370.677685894
735,38026520.7031004
736,38222901.15843652
737,38742960.114349805
738,38522472.21653811
739,38460064.85824128
740,38803661.36169535
741,38315113.619775094
