Time (s),Average Resistance (Ohms)
0,9726533.680641059
1,9952591.4298766
2,9862313.37369367
3,9695918.358658869
4,9917404.686071154
5,9788312.706399735
6,9873048.179632952
7,9627194.600739658
8,9910959.176780382
9,9908731.487049302
10,9987417.236653782
11,9587901.869608406
12,10933335.48792405
13,10749610.926159922
14,10770459.81947682
15,9950387.155232998
16,9952633.382501574
17,9780267.404675938
18,9921151.167192558
19,9814802.914690653
20,9920558.555920988
21,9913854.439789198
22,9964249.187227402
23,9936649.297472175
24,10013681.927267268
25,9879444.200276764
26,10244993.263662364
27,9893582.884549085
28,9967957.228434812
29,9931846.927546065
30,11399851.891751196
31,10816416.394479493
32,10997198.193921871
33,10968352.084638689
34,9902744.33907869
35,10888773.239664296
36,10913101.294777978
37,11143353.075841615
38,9977873.262268616
39,10822772.255658891
40,10946589.411596542
41,11136795.549451014
42,9982814.084695939
43,11003542.58157212
44,10877982.784203876
45,11227221.571637204
46,10120164.241642691
47,10924476.836113205
48,10950930.762615819
49,11015280.177926542
50,10038383.206213301
51,10759303.843270767
52,10806682.722424218
53,11038149.11515433
54,10832356.362526312
55,10927523.11906909
56,10957405.070655102
57,11389220.147237036
58,10789001.135171752
59,10860749.49522005
60,10915273.92956969
61,11543035.813284926
62,10734818.486492919
63,10816373.982230682
64,10950323.18913997
65,11114804.964188568
66,10887369.46964006
67,11060001.455149455
68,11071902.772341426
69,10098411.586633218
70,10931981.731413057
71,10917398.860793719
72,11061304.033988299
73,10010320.29612259
74,10765754.649843588
75,10855814.302907817
76,11065708.030596167
77,10022844.497293381
78,10902881.58094487
79,10996527.072572956
80,11310560.205184387
81,10042838.440479014
82,10684446.947885849
83,10833787.961869374
84,11137563.543273699
85,9799100.162518188
86,10750187.00698181
87,10886121.731920842
88,11123452.941273693
89,10932672.560212731
90,10842787.27443279
91,10917222.571986713
92,11389859.288625073
93,10715664.339454783
94,10673913.563343083
95,10918000.109672803
96,11443368.50173014
97,10820802.700024147
98,10839578.756100638
99,10964431.59626371
100,11075241.937517587
101,10805699.245705701
102,10883747.639802432
103,10925053.360369394
104,11423511.613540117
105,10869864.68236048
106,10888166.01346704
107,11092798.635876285
108,10058712.680432437
109,10694238.058638444
110,10755502.995874807
111,11047728.622034088
112,9975730.991928266
113,10727319.99429503
114,10795612.772246642
115,11050186.062440123
116,9993594.610310338
117,10707982.164557766
118,10852207.57699937
119,10925865.179824045
120,9733273.96798391
121,10685935.492744258
122,10581691.753665108
123,10858825.846131556
124,10715996.637702528
125,10706597.680702865
126,10755324.110128274
127,10951750.749980437
128,10744031.88126271
129,10749200.165791992
130,10740879.910631288
131,11324155.978753475
132,10832210.62785847
133,10856580.176318523
134,10819292.147019025
135,11390409.157094184
136,10827489.76054271
137,10902117.862649187
138,10964854.402781788
139,12060300.541028261
140,9899006.949029453
141,9730391.483740155
142,10916659.937227909
143,9680082.151641902
144,10710108.754907891
145,10810405.535103621
146,11155088.54996726
147,9937177.193788927
148,10991485.21958604
149,10940758.877314374
150,11177005.749128152
151,10129429.53084965
152,10741566.795311399
153,9964804.655526498
154,11050322.977012208
155,9792175.686837427
156,10915533.834817363
157,10813076.773714557
158,11137548.794941265
159,10921532.477614233
160,10945378.43402075
161,11063512.838357743
162,11470135.85073244
163,9966532.581057109
164,10918516.573967902
165,9956416.886272106
166,10010708.79532716
167,10866720.674567252
168,10830673.148797443
169,10902986.46957364
170,12033395.54020952
171,10954253.182001702
172,10981733.66951626
173,10859935.500075191
174,11579018.436330887
175,9931171.179833435
176,9941724.647374656
177,11003251.3301558
178,9623276.83126502
179,10890567.583115507
180,10911251.606380861
181,11010524.582191177
182,9974034.338149855
183,10805973.697425494
184,11012328.795829924
185,11037627.720341839
186,10101487.301847186
187,10896920.745597573
188,9969039.642908182
189,11073552.826795965
190,9680782.800469322
191,10864532.00502161
192,10827332.047905294
193,11155189.396694621
194,10034816.897589618
195,9938465.54664046
196,9897964.221082497
197,11099852.096895993
198,10762977.510102918
199,10911225.61689988
200,11025844.508355228
201,11250943.664657922
202,10870807.383027192
203,10873105.769140452
204,11040323.40843778
205,11708643.213406486
206,9905963.16830725
207,10887692.877296051
208,9969309.635253908
209,11152356.359774467
210,10880564.818627816
211,10953621.124496391
212,10913831.704936089
213,9942308.759035766
214,10886924.86267749
215,10921259.879407482
216,11004486.405545434
217,10058032.482242206
218,9906897.782331368
219,10965508.430506727
220,9925108.057616105
221,9689111.468181452
222,11054004.012139294
223,11000380.872253587
224,11244550.602251211
225,10051938.70427307
226,11080727.51025677
227,11059979.4779147
228,11116392.200315157
229,10088963.563403293
230,9932309.095303394
231,9946912.261238951
232,11107851.642590323
233,10921540.657550521
234,10994672.321560798
235,10999131.438899942
236,11404069.895737657
237,10990256.818875749
238,10946430.575928519
239,11085171.889182072
240,11750363.510356242
241,10014025.373585474
242,10930512.785974747
243,10014773.220854301
244,11188671.47725065
245,10870824.444533542
246,10882021.426984336
247,11124690.64576634
248,12159647.530180113
249,10927970.06092031
250,10959945.741762228
251,11056543.899358962
252,10054831.551747246
253,9751378.690832207
254,10941395.513523942
255,9995741.8499367
256,9655626.953050816
257,10945410.526968222
258,10968354.892967824
259,11035440.41508555
260,10020577.724825578
261,10828439.18806757
262,11013750.439062946
263,11073549.668287853
264,9945905.922541354
265,9967091.11444337
266,9924669.818374794
267,11114518.382355073
268,10994485.48849755
269,10815439.655145219
270,10962115.158541007
271,11235567.007537564
272,10841721.551753601
273,10848330.884474728
274,10893522.879666131
275,11519435.916161804
276,10793856.352055196
277,10775228.156038111
278,10945470.742320813
279,11036644.864765491
280,10832653.6492148
281,10823445.792089028
282,10900581.639784709
283,11366333.832459005
284,10795011.226384893
285,10741063.491644708
286,10973647.459453559
287,9953674.828162495
288,10849860.302257825
289,10951893.06097586
290,10916508.027649805
291,9997223.654615859
292,10807008.695979027
293,10892772.496063417
294,11028364.637714189
295,10002038.703288427
296,10830038.902689315
297,10941399.03535343
298,11183581.543413155
299,9767039.984940391
300,11001355.337125462
301,10951639.20311589
302,11067893.810596736
303,10995361.487797132
304,10905447.321634378
305,11023708.963086598
306,11202271.476301882
307,10981494.366884194
308,10880176.458959617
309,10967966.212964037
310,11381894.888323765
311,10918671.114704693
312,11004768.895887068
313,11003661.364711812
314,11313609.624455893
315,10927654.934742238
316,10915990.727220567
317,11041452.12737969
318,11577260.083119966
319,10783644.987236446
320,10931248.99722391
321,10968840.40125327
322,10020548.734272292
323,10866979.602233458
324,10999959.379148295
325,11096527.161883982
326,10067178.89963105
327,10949554.0895671
328,10986307.707301259
329,11174955.981315868
330,10015158.795264324
331,10870634.95965097
332,10999107.852138508
333,10960726.42079044
334,9725647.127817286
335,10742461.244138265
336,11035609.219055427
337,11133055.158336313
338,10992352.504674586
339,11050910.011322264
340,11093203.368972428
341,11516187.161112469
342,10939710.457277523
343,10844115.79295053
344,11008198.437767789
345,11424860.067091852
346,10810689.337046495
347,10985334.87987949
348,10992734.71046422
349,11358665.08396659
350,10877887.472671472
351,10526620.324117016
352,11195570.533080352
353,10839975.72823934
354,10918433.83263506
355,11084791.468593419
356,10042831.831100525
357,10815052.325516293
358,10916114.63840659
359,11062713.103436187
360,10071406.227385988
361,11029067.475347226
362,11106987.850376572
363,11408861.785168426
364,10067728.782207537
365,10865761.099189552
366,10980863.10766365
367,11345529.512161467
368,9846400.80652697
369,10896095.874314902
370,11113859.702228287
371,11203900.613716474
372,10898766.714616481
373,10991182.807564754
374,11014404.865222279
375,11330301.835009163
376,10839640.463312462
377,10858351.695308885
378,10931947.970666645
379,11499142.22462483
380,10878287.317217996
381,10734270.391844172
382,10993277.713649329
383,11318834.757133566
384,11050561.405888658
385,10782809.743869407
386,11139455.667632654
387,10921386.825837746
