Time (s),Average Resistance (Ohms)
0,-19479335.10108172
1,5610813.377101103
2,-5545173.0396218505
3,26542233.512757797
4,12934272.883912819
5,1314973.6269095838
6,9987236.180934584
7,8717748.45116378
8,-2336933.1157936216
9,20899834.49531799
10,11670112.567620907
11,-6369424.4300492965
12,-5441864.57019687
13,11859649.828127312
14,2785712.6005554684
15,9209541.853578432
16,12527290.584265698
17,-11575791.45979833
18,19876641.8226561
19,19844291.459436987
20,-18503817.473787215
21,-5428044.43491898
22,-13354534.970248085
23,9618867.053729285
24,-13544074.66733047
25,12203714.457568513
26,13939154.22766471
27,-5161845.10316367
28,4638695.289686241
29,-4090044.15033181
30,15078833.38169165
31,-19718949.63303411
32,26454599.61795009
33,-12449158.655459223
34,19622730.29431521
35,-6043220.755825989
36,15137347.748578075
37,-8134546.44254906
38,13122287.928869033
39,-8947247.567737963
40,22112176.000511106
41,-13350066.39570631
42,-27452438.98970453
43,16874189.708451796
44,-12108436.307126256
45,8801609.921848014
46,-16413009.191185275
47,26712074.28616511
48,-9289771.03867308
49,17905374.518989712
50,22327001.09309501
51,689637.9547227239
52,-29635078.32415039
53,16553005.488886515
54,23340125.67882647
55,-31458911.76669284
56,43723281.3632406
57,15438048.067390632
58,11495313.72023942
59,-7006140.899879644
60,16455579.672507748
61,18144730.848694604
62,-8180399.544959946
63,12366280.247662097
64,21275862.52038864
65,-8718543.496244987
66,6580246.729319474
67,12986647.101061052
68,-30127425.470200412
69,14272043.038795775
70,-29460741.97637496
71,6420731.874186521
72,9004013.695360279
73,-3608695.052665971
74,15052675.860979035
75,8331336.662422115
76,-6430944.967363804
77,41446153.41640392
78,-10948232.409726445
79,4176931.413486927
80,-31942219.189515173
81,9777075.751662306
82,137104.12332181996
83,31382594.185884845
84,6272274.628455104
85,-4147101.4098851816
86,54616158.03516735
87,5745193.669963414
88,20881072.995948892
89,13157281.646745913
90,38775225.39010821
91,13454366.818528265
92,-31945365.340411525
93,36074508.47149615
94,15809270.925419187
95,24605803.851678442
96,22368685.39623781
97,19552653.99723161
98,10716324.538997862
99,20741332.47635091
100,26104418.95114351
101,31390498.71595015
102,16629057.585896969
103,-35789143.5398625
104,10630413.409256473
105,21801830.709641036
106,-37467862.690289475
107,14250222.212193564
108,19632168.55358959
109,13792096.614740169
110,-11203100.167248681
111,5810819.89171976
112,7949043.785283002
113,31707448.60470919
114,-19026970.57118099
115,3575276.6420834
116,25979105.184754804
117,4212209.22212079
118,-3543520.9820838287
119,7277938.789610155
120,-35056155.87472329
121,5103387.8145018285
122,35085274.93213632
123,52869606.587305
124,-1014907.3839347742
125,7372882.9718724955
126,4812587.195281868
127,4620161.381163666
128,-37887850.39341968
129,6658373.488032277
130,26014604.38258461
131,24193307.95109862
132,-23467868.294394515
133,5200155.579987309
134,9316704.708301192
135,9125398.09438121
136,26167424.594109036
137,21075381.725396164
138,15141091.370668372
139,4177010.430526723
140,7963366.7449843045
141,19477154.243664905
142,50538758.51746316
143,7838031.588198853
144,4255028.219640357
145,9930632.759118706
146,22100629.987827443
147,4035879.0183248394
148,5456162.351396829
149,13212470.7508936
150,2820641.605298218
151,37339928.33681686
152,14402313.315796211
153,665767.8940119084
154,14322188.352109864
155,10981441.376506519
156,4438465.12008839
157,26035305.479255967
158,5147632.11366418
159,49468383.30995627
160,8677018.26468653
161,-7096810.635284421
162,5139342.249869031
163,6478370.61321065
164,36958736.5240727
165,-2753588.3425603574
166,23716446.598018043
167,8929870.59747778
168,19543120.617193993
169,-5563251.987716253
170,7143240.186666822
171,11252855.106333766
172,-4900778.238624145
173,17911260.77668538
174,7436134.08753072
175,2790053.9648550684
176,15001434.579301376
177,10362908.096673597
178,12768377.335130004
179,11691657.189638486
180,-9215403.426772596
181,14073567.793853223
182,14408005.957472716
183,15116150.99418597
184,8454033.724881247
185,-9072305.804228466
186,12634948.391451232
187,22643758.041184317
188,9104817.590494914
189,27716896.197254073
190,15712963.492684659
191,8883983.451245692
192,13176093.365452126
193,-4133561.9423038014
194,8717454.958643096
195,15410011.874585962
196,39432486.98016228
197,-3211147.48418681
198,-5451960.588428875
199,4801675.570318034
200,14551119.504565213
201,2135265.858663971
202,349889.1221597431
203,49185152.95650005
204,4501718.6065053055
205,-20914750.010435782
206,10021985.530028092
207,5127287.79934049
208,28236049.780981638
209,6358064.792366613
210,35324977.30876698
211,3726023.3660112834
212,5311820.04214122
213,376133.255277938
214,-6223577.864237473
215,9010943.696356695
216,6358835.965723074
217,-14740277.511795178
218,14523907.63416918
219,18526750.396912746
220,8423770.166955125
221,7925907.583117001
222,7839909.582969311
223,31228126.58579881
224,9247759.320815457
225,22384075.45601466
226,22287916.989193704
227,12229713.834185086
228,23441040.442609627
229,6639173.946885676
230,20039072.10146376
231,5601510.039351592
232,19409717.340658315
233,11194050.425089661
234,51186904.6229514
235,-2169328.6583983297
236,2312112.527162142
237,-22832613.11796571
238,4557684.920241458
239,-16410080.12070022
240,9290689.01082774
241,-38080209.76596071
242,8001579.198592459
243,26998944.48641458
244,9232427.481708365
245,-16274055.888676107
