Time (s),Average Resistance (Ohms)
0,-4371459.111460913
1,-11743068.026348352
2,-4295800.293676727
3,3735642.5180185535
4,1210061.3394501947
5,-14084624.721713897
6,-20388258.689814024
7,-8948918.043917835
8,-57542858.457131326
9,-13625296.470029643
10,-19006645.440330897
11,-5477954.226497655
12,41562097.29300119
13,-23101189.197896354
14,-3715640.5413663657
15,-34776350.14022362
16,-6145600.03213905
17,-10162864.971106451
18,-5158099.998565937
19,-55883824.91024345
20,-4964045.622191149
21,-7137062.706901431
22,-8920155.458059583
23,-528710.0213453558
24,-6242361.112704923
25,-35053559.458160445
26,-3925882.1521266503
27,5657680.0835605925
28,19780680.045994803
29,-2609053.2172714034
30,33536806.657706022
31,2970521.4034366393
32,-4747632.582443273
33,-5628361.155685974
34,-9292495.297734503
35,-202138.5750081853
36,-4876930.543461289
37,-175351.79035921875
38,-4449973.425796003
39,-6409577.084224081
40,-4724751.097512532
41,6306525.270101236
42,2576786.534751397
43,-7267494.393345478
44,-13147827.095388314
45,201359.27935511604
46,-13506043.921409056
47,-7595420.768268665
48,915802.0310500333
49,-1578872.9148641091
50,-7715520.960174534
51,160139.86097392617
52,6037249.164634644
53,-19086816.73669111
54,-4067931.3051340478
55,-3346465.2334722974
56,-6684808.044463865
57,1202947.7462590025
58,1330851.6053164
59,-13895998.3497088
60,-2243669.9670705097
61,-10766920.648545742
62,-9538061.34899052
63,3139658.308198021
64,-5699434.019497594
65,1045520.794739397
66,97932.76187641534
67,-994414.7236806806
68,-20778573.69214142
69,-7642478.352920537
70,-1293107.202265615
71,-44340698.73106136
72,-1595586.4537927858
73,18724355.673173185
74,7708084.308815269
75,-12812832.945287654
76,-2061997.1157629522
77,-30810405.06784346
78,-6300393.477754415
79,5210011.208083308
80,-45667858.61948751
81,-94538.49081714396
82,13264323.350260556
83,4092008.3232076643
84,-8440202.745561859
85,-3749137.8244002885
86,-21402581.545998
87,-4658876.022402681
88,2799589.374547239
89,-7142936.663565056
90,-3076245.101010166
91,-2656405.5390327396
92,-14016465.181195602
93,-8198639.582468504
94,4778140.364025263
95,2460597.217044265
96,-13115525.564183582
97,-11700997.977039402
98,-9679345.459243076
99,-18024559.199108105
100,5919057.816692314
101,28483427.121545263
102,-14320182.709384253
103,-6674303.936955797
104,3116515.132718371
105,-8628618.096126523
106,-6656444.20229726
107,-5808931.9428660525
108,2434904.8075432833
109,8604396.338486407
110,-12767598.46103992
111,-17669646.734758694
112,-7779628.8455401985
113,-5099166.59930999
114,6849030.700564767
115,-3825447.643310081
116,-25075677.30902663
117,-378824.1506718473
118,-3721255.462984306
119,6585277.961943807
120,1848261.1190630174
121,-2436113.831810547
122,-13244575.791447219
123,-4400927.1382188955
124,2040790.6811526816
125,37045200.61455745
126,28220332.747890957
127,2727044.5551349157
128,-7290033.703379025
129,3221287.8175036483
130,-11266322.946328318
131,-3083188.903375427
132,-9123772.648912512
133,8611064.264669355
134,-16321542.450854544
135,18311466.9570906
136,-37704305.662388094
137,-1552036.7981338645
138,-10049973.192962427
139,1082227.7656588093
140,-24790332.236193184
141,-8284479.051468693
142,-12355935.287921177
143,-5905604.681183612
144,-26500943.62391711
145,2891406.397159877
146,-1844289.3293508142
147,-8946052.357426744
148,-3969481.172239897
149,16035175.765277829
150,-5414523.750178766
151,-10166252.465700982
152,-6390581.549051558
153,-17405789.72524833
154,-2233849.9384961417
155,-15564869.682977116
156,-17882311.56898464
157,-9314145.554434484
158,-35865279.60647982
159,459883.4332590668
160,-12786088.977405716
161,-7074713.35720145
162,-21853944.82376483
163,8392194.537712203
164,8946550.570903687
165,-3628223.4593826225
166,-7993178.740543446
167,356214.9463586175
168,5349404.539034211
169,-7571583.174263731
170,-3901632.3898001662
171,-17450938.76774058
172,-12971342.495835774
173,-2986713.402333063
174,-54450018.200156584
175,-6391711.2243718505
176,-4588882.752960865
177,-2279493.8926984807
178,4682551.1804203745
179,-26916585.839628153
180,-2929448.4974622917
181,-12061670.070030844
182,2916747.2427948513
183,15408563.795963129
184,32497915.477847565
