Time (s),Average Resistance (Ohms)
0,-27046871.289431375
1,-961836.4653609002
2,29867487.828531682
3,15211472.574022064
4,8248478.67541475
5,42106448.534359545
6,-18216293.248964466
7,-10701192.16439479
8,9806659.525966961
9,16391242.44001252
10,967787.4348148035
11,-4717430.146168737
12,-13561870.522244403
13,39395568.153568715
14,-18855809.22043062
15,14713859.442680141
16,-4005465.11250538
17,45435980.91663377
18,23369602.035371237
19,-4038460.8428759547
20,9825974.658924447
21,27770937.344181698
22,29214158.80671394
23,-37655923.445837244
24,462282.4674344752
25,31978345.59421172
26,16839142.238542177
27,42321750.185102545
28,26747294.227012552
29,11602564.480978604
30,34099239.32066062
31,11792293.303211544
32,-32269742.323630076
33,16520315.700619802
34,-16465130.977956306
35,13516526.442113513
36,-4043371.9517566934
37,15577063.23576745
38,18786004.97005999
39,-5035524.574695633
40,49805345.9130866
41,-24815675.190596364
42,-12703343.348334314
43,-20922792.166131787
44,-37861921.81941509
45,1093148.9305741158
46,18903784.511950277
47,23669755.591431037
48,9439063.138101425
49,-7796846.007109451
50,-16539542.587983632
51,8947781.126863468
52,51712744.75199426
53,14020337.269094985
54,-109179.62192205647
55,17342175.1121166
56,-14883574.195429882
57,39487911.01424797
58,676357.6700878364
59,-16008702.095580926
60,16686310.411718938
61,20573074.544543702
62,41532076.72198302
63,51795231.86548097
64,1455991.2481746462
65,-33367915.529900335
66,-54738194.6729151
67,-2308058.5704545537
68,-24397551.25965844
69,20860916.94505604
70,-31785.836602116564
71,-6752008.235575196
72,11592771.301976148
73,-9816449.910803784
74,10014506.190446284
75,-3634671.9832909824
76,22212872.123592816
77,-13128690.278496364
78,8509243.426078318
79,-17869307.5290784
80,-6764949.759376374
81,18468572.49606493
82,12080523.146621924
83,37170933.25787003
84,10853317.83742052
85,12580260.147714991
86,24048856.172243677
87,-36868612.22735596
88,28996976.73594005
89,-41839298.19665185
90,29204180.84949838
91,-12719748.894781467
92,-10234539.502645269
93,-10104977.162404476
94,13578302.420766693
95,-6654510.151758061
96,30538220.03837229
97,-36163664.666788444
98,27424667.036920212
99,7794452.750572568
100,-18552688.800401025
101,31902490.837912522
102,19217902.18017764
103,-6722914.797295816
104,-1874743.8982607848
105,-7911994.491933534
106,-32860021.13002879
107,28683355.282951593
108,-2731650.4664840586
109,-35670027.406891584
110,49154302.63698202
111,-18793931.036007773
112,43127521.06567631
113,-14817823.752051199
114,15741773.853444794
115,-10269677.96704743
116,15016183.876383299
117,1662617.4772760323
118,-5235356.374773815
119,-3391568.939896094
120,9885472.433626192
121,-18159519.40196069
122,-8880477.652208159
123,-867947.3926029938
124,8063802.843233118
125,7266168.417131935
126,-19808597.76391631
127,-4853210.234533256
128,-14662410.19193774
129,11929107.304706937
130,6501086.384627406
131,4415603.563997456
132,18672090.19845848
133,-11117148.66093899
134,-1025518.4028916514
135,-16670530.785548527
136,21108002.911025204
137,-50072128.91588655
138,1912232.2594838862
139,-47154447.42646533
140,33312767.95509843
141,24746455.945074007
142,45174635.60211386
143,-3042547.302940275
144,8252941.848322481
145,7269825.173685422
146,15050391.8668099
147,14668976.42972434
148,159604.05928505555
149,16599509.914329994
150,44118093.69716206
151,17374579.41454772
152,-2100000.2037177915
153,18952007.925092105
154,28886151.429406296
155,16601404.106750559
156,-17076831.52918507
157,-13058747.575403785
158,38735397.08264177
159,-28845731.61127044
160,7945815.876760131
161,-4217972.903849188
162,2948298.048924744
163,-8810112.591445874
164,15602239.296702772
165,-5872973.843633047
166,-53778144.88824521
167,-329855.5476250117
168,46164106.35588889
169,23395518.38459432
170,19848547.318888165
171,-12246389.332081752
172,22131419.60888698
173,-23125985.795445975
174,9269820.365019796
175,-7532853.216565909
176,21593171.81007378
177,31783186.323039155
178,42879492.573840894
179,43606329.5070255
180,16443096.03950122
181,-22847166.143606804
182,-3736230.4472287693
183,-3563711.026448755
184,13374797.309303815
185,20740537.993619446
186,11188472.415004184
187,13908942.171090245
188,-25691922.726772293
189,49138758.79144796
190,-978971.7208857012
191,17063730.254041787
192,5900010.71990748
193,-885674.3186045863
194,-8028964.091753533
195,9533016.71181355
196,-38015016.041921385
197,15309935.989346033
198,3393498.410484729
199,16590462.013515811
200,17625847.279593445
201,11101270.630697364
202,-37215673.65591058
203,55772009.25765499
204,8143665.1895490885
205,18857048.66477103
206,-11922406.175798904
207,22999492.009553432
208,22518421.973730225
209,-15511274.049462253
210,39421169.73649944
211,-1435661.6335085672
212,21635321.768195286
213,-18812688.244732156
214,702042.5714035111
215,-13085167.714880113
216,26379414.016872592
217,14126485.179097641
218,-22056454.214770656
219,21961031.810006294
220,8874632.73733923
221,21505917.298111144
222,-15507512.326447263
223,8359166.174433152
224,31698255.07986317
225,58312154.21626397
226,-35057774.84477585
227,43730078.98613399
228,3851092.2537540584
229,-35654811.29384741
230,32657451.55411812
231,-29339610.400281798
232,9224247.494045172
233,-12707772.4592894
234,-11544720.25799278
235,-3075582.3475391464
236,28553640.125073045
237,-9788679.80916592
238,9958777.329753116
239,-14923874.522523876
240,14127546.894343939
241,-2732194.896233592
242,48498630.37161456
243,-3748544.2554327203
244,19169228.524898775
245,11701814.383006671
246,50009347.50019539
247,10083631.189413063
248,14080213.65919303
249,7337652.938000001
250,18584906.85582351
251,18631470.969783284
252,20784853.63792073
253,28864104.119946927
254,-12554893.508047335
255,-10122724.069853488
256,36215806.193607345
257,9440863.06829745
258,6648319.195657959
259,56119076.75673567
260,-9379037.882273711
261,10034265.401416522
262,57234141.14730851
263,-1997615.1745588663
264,27049796.7598808
265,-13031703.396312924
266,10495456.856290903
267,-173100.39400262845
268,8323810.347811654
269,27200385.47061168
270,14295512.495830074
271,-2179490.6981155802
272,8970777.806324877
273,8987875.07854926
274,-15285618.721345112
275,7932314.275866399
276,-19759983.964377012
277,11113127.893829709
278,18608312.490039445
279,8823883.751780882
280,963087.1496319672
281,-25997294.605853714
282,20240154.816667154
283,7425587.455895687
284,25319618.39017593
285,-8070204.900664171
286,20394260.1055101
287,8885488.698546272
288,30618616.80695183
289,13277567.55245639
290,-4012050.155909171
291,-9071774.228166554
292,22220181.31772303
293,-19358509.48381531
294,6466033.576486809
295,8968029.546420183
296,6602721.906141726
297,-48219788.76100264
298,23697342.029807646
299,-47880200.39799984
300,11116172.505451245
301,10444488.88341057
302,-16029750.41874086
303,9669145.825526286
304,-37270475.96324618
305,14938374.416778084
306,-9246635.078655422
307,-879107.9715599952
308,18800733.265134238
309,-4807445.225927958
310,14083394.723487243
311,-11810187.560921133
312,29192757.333178062
313,-536719.745831203
314,10025468.096942518
315,-12972288.451836329
316,-20977057.492293455
317,21119050.948132876
318,40908783.167015865
319,13037066.624808887
320,13476534.248600703
321,8654392.196181092
322,17926984.94790275
323,11642460.432784151
324,20275798.090270746
325,21180398.1397253
326,7936423.223680681
327,-24732776.71477146
328,10684513.204233788
329,16222312.619359042
330,8917035.057086833
331,13604912.940495733
332,-20757559.56199224
333,16666827.545016408
334,-45154956.7480921
335,-515550.18527974386
336,-36073065.825075604
337,16345899.10792152
338,14902191.088913072
339,-5337865.047854239
340,17100063.82437148
341,18635894.943052843
342,8359898.625405659
343,9166187.084817912
344,44309765.782640144
345,7556145.963255001
346,-37442459.21782713
347,10311363.296329869
348,5802429.272186067
349,-29018987.046695184
350,-304009.396590311
351,2690579.979183172
352,-9668034.589006346
353,-10495330.661164511
354,-1979286.2659903509
355,9021656.661055276
356,31718971.44580496
357,14987628.606225396
358,-59482.34707927159
359,8410163.59067413
360,15890516.232822513
361,10721138.681838159
362,-13157875.131320748
363,1519081.949025915
364,14277882.165348392
365,8884637.393044611
366,11657012.047689574
367,-35348018.3236549
368,-4530467.3363117
369,10418556.438256826
