Time (s),Average Resistance (Ohms)
0,14158938.76890265
1,15206823.151550971
2,14204215.788870426
3,14371920.29674467
4,16154911.850264218
5,14352746.470679324
6,12911387.662777482
7,14348039.873152087
8,16817904.920110326
9,15379934.145232547
10,25879632.060758352
11,13846927.846987132
12,26686957.26803796
13,15473633.369621392
14,11140783.778494608
15,11024941.582283018
16,17243816.337247718
17,28539558.602752756
18,16694385.155084556
19,15917305.362288227
20,13073402.848466447
21,13816345.83540346
22,15997613.506514126
23,19311961.3755837
24,18708477.82370546
25,11611939.882540634
26,10964899.717426632
27,16975281.404430896
28,12420647.486290487
29,16767018.746836444
30,15887596.07004416
31,16361915.812947016
32,20421504.916546483
33,11351970.540166968
34,22771882.807156455
35,11889321.332702849
36,16957653.242472336
37,18626819.939869374
38,17251724.42020088
39,21609634.860979132
40,11438684.180184387
41,19873091.83885476
42,16941129.31642648
43,14821940.869298918
44,19263113.359012134
45,10770886.715003315
46,25147672.3802664
47,13640756.902566597
48,14977533.455950174
49,18881501.242497344
50,18998158.63626141
51,21603044.245895926
52,18717298.383367218
53,20593735.80863475
54,17200039.86913177
55,17295453.78709455
56,16078532.788192263
57,16347518.001047103
58,15241593.028558636
59,16483060.79292939
60,14258387.574379642
61,15815148.358697588
62,18709595.648409624
63,18997699.57370119
64,13551093.401514933
65,18422609.602809004
66,19382503.874717284
67,18312309.06850557
68,26125834.198799614
69,19198924.805596597
70,24461713.25824657
71,17035627.479996324
72,16148157.44303434
73,21388865.2833003
74,17384876.8703811
75,19560518.200502805
76,11587745.01274954
77,22017743.217543036
78,19702905.484190986
79,16041892.678516414
80,17558316.535702035
81,13663894.68179759
82,25512324.20167865
83,16139225.805291906
84,17281879.578528486
85,14884568.611474384
86,24176415.616275396
87,20060634.683582753
88,15388375.814444944
89,20209760.904541243
90,16478025.003513416
91,16869991.948806215
92,22115539.685910143
93,16553901.767273214
94,17469962.549652684
95,15681671.706377057
96,19399811.121990245
97,14426947.735332234
98,20074180.1818284
99,17947421.437786967
100,21135615.31675413
101,22667345.228182327
102,12558591.409943115
103,14156365.260034
104,22186673.52650585
105,17096047.816803936
106,21566553.147817455
107,18711754.609759107
108,23013004.718056392
109,10434100.714444596
110,15011723.798052201
111,19623616.16736711
112,17958359.79480521
113,18734191.791450895
114,13919689.123232028
115,16102153.525817152
116,13803797.58949482
117,19098468.72443022
118,15907890.28447711
119,16273469.376250176
120,18098741.869029228
121,12043716.852530323
122,20946059.6212244
123,14292077.055864712
124,20553333.683738343
125,23021008.94124456
126,11359091.552545786
127,22805897.24736296
128,19837986.120440386
129,13757245.967966428
130,16643738.1815988
131,20107010.093644172
132,12574777.520042235
133,17728782.836783167
134,21612183.63819849
135,22678224.56936409
136,19178448.162167054
137,12598223.35828263
138,15907483.129713833
139,13612415.032109942
140,21496004.86878642
141,12305880.630343225
142,19296926.15603421
143,18036594.58863645
144,14037181.588572005
145,17952429.189492766
146,16895307.885993205
147,24648867.34047587
148,15313197.004745455
149,14683263.449642349
150,20785626.467756756
151,15564453.469755039
152,22429042.742944814
153,12967342.40004107
154,20804198.282453865
155,22097759.713218365
156,25638604.475839622
157,18266446.891467426
158,19695287.957904376
159,19850493.404820293
160,22152215.91674187
161,9824722.99687199
162,16140540.378617698
163,18642396.583386663
164,11486531.108357782
165,15646563.584667936
166,21961145.089354675
167,15596424.69039096
168,12421648.958316853
169,13718677.676618565
170,19594892.721888278
171,18181720.148026556
172,15522140.838834215
173,14237313.442983117
174,12895856.100285288
175,22224057.39661528
176,12185784.181290096
177,15910762.496972527
178,15921911.210729796
179,20867494.85695793
180,20455814.265136223
181,12681735.004227912
182,17352608.87238877
183,18941362.036346048
184,8420633.914089065
185,14390796.912062392
186,16483450.299282447
187,22180797.742630977
188,19609537.11307001
189,14884076.840874216
190,16869695.614963397
191,15015458.676961478
192,16208729.288756529
193,22645199.609040827
194,26321937.943469275
195,17484324.62181847
196,13372816.606519673
197,19916925.448582985
198,23018418.811139856
199,17347818.20840726
200,10311692.951410865
201,17060369.43770726
202,17391622.952759333
203,15291539.30309917
204,17700636.669562276
205,14201782.655682573
206,12478891.334369678
207,15382221.748511462
208,15711042.955226839
209,23514631.06746879
210,19917948.165428452
211,10774965.097039716
212,18422681.9600354
213,20462521.90411865
214,24248726.16582174
215,9584895.062795887
216,17799699.493722506
217,19848420.599770673
218,21971954.556843974
219,13498221.250564978
220,15628475.936824793
221,16089400.93416485
222,24602386.47914071
223,12225227.320135549
224,16152182.463420853
225,16767630.059104165
226,24935355.975765914
227,20672715.523764916
228,15158700.58318945
229,17266322.339252703
230,14446977.446147947
231,18331588.854067847
232,15256559.395284148
233,23893040.659656223
234,23370298.129658684
235,14797101.273901701
236,17527799.92329567
237,16873965.111030407
238,16291767.411986357
239,18400897.901172895
240,16668860.967245111
241,21411489.142223552
242,13684573.000208588
243,18445254.842273396
244,18137442.13937641
245,13768561.13449646
246,14770738.047346685
247,11634139.83746233
248,23009053.802670997
249,11414652.750958819
250,19718978.056799285
251,24567694.795385715
252,10236485.139179008
253,17143209.32558281
254,18917905.449357588
255,19204256.51658046
256,18184882.044076186
257,14645146.844221335
258,20507487.746947236
259,11775738.056855539
260,18111775.788941592
261,19268317.609511506
262,18283052.62889887
263,12802903.295576036
264,15889181.701145312
265,18073150.368914254
266,12937144.7204659
267,20677315.35784222
268,14760816.841345571
269,14011568.127038788
270,18697371.98502139
271,18591014.509207398
272,18846584.77038783
273,21109101.227224678
274,14986665.506910639
275,14404620.84109826
276,18010355.408847984
277,16728248.374456758
278,16532039.659223681
279,14495205.349107483
280,8381746.382310079
281,22591524.927822623
282,16659047.291821405
283,8558241.986532006
284,17105777.999347065
285,12851544.271989223
286,19987304.905308943
287,13099638.667451365
288,11373489.358551111
289,16343950.742800072
290,13418374.036716256
291,18362896.76262488
292,14480127.730516471
293,18733491.83682794
294,18517086.649261925
295,18342776.364420585
296,22266502.82046456
297,15235244.75514943
298,15654222.901968684
299,13777009.212170705
300,12867021.845730629
301,18911555.6011345
302,17410383.53315929
303,16339431.930772634
304,18181046.49242156
305,13531837.598202845
306,19367292.531539544
307,20026977.123281334
308,14212269.479758767
309,20368393.74752029
310,11532211.98055401
311,15742138.20759568
312,19212672.946316887
313,15492707.504167352
314,23544172.08602432
315,11563981.70606175
316,21954547.19358234
317,23089613.82915132
318,15071211.56025043
319,18268806.310404286
320,14599837.072332833
321,20801002.287708946
322,22333854.913676538
323,25984599.863375198
324,21286304.286347207
325,16102197.504734728
326,23514417.41236197
327,20131372.025132924
328,18317753.433442812
329,21253200.433363814
330,18145894.17354309
331,20390510.520899512
332,18703001.03341238
333,11109633.203128163
334,13363236.408416754
335,20239489.24012211
336,24160608.568970915
337,14048948.047123725
338,12543167.074586421
339,17818321.73307944
340,18753242.366652105
341,21138505.770643488
342,16883834.12073305
343,15542767.991718959
344,15463463.082216842
345,16780501.330981143
346,18852838.41414822
347,20005793.78260667
348,14088393.738747511
349,22613004.791257817
350,15100169.63660933
351,20813960.133379743
352,13001450.49541501
353,15588135.314014975
354,13966777.09553124
355,26411868.359677214
356,13962805.590365285
357,15483546.683579639
358,22001984.059513014
359,21227465.57538223
360,15078345.583609246
361,14107614.4323997
