Time (s),Average Resistance (Ohms)
0,27262964.213873222
1,26754780.94906266
2,28664538.60052649
3,27087633.946621303
4,27665581.390419275
5,27149058.660518616
6,27123231.641907074
7,26764438.29463375
8,26845068.03636761
9,26926499.422288034
10,28310590.72638463
11,28117638.609496105
12,27601426.96416096
13,26307564.444913823
14,26810436.014191996
15,27459768.76555785
16,26712872.12096653
17,27500992.08298257
18,27426078.885529526
19,26512554.868129555
20,27790422.327981275
21,27417831.159909822
22,26230612.14067634
23,25978827.807876103
24,27125470.4002356
25,27576754.447568595
26,27674983.897330523
27,28173534.594709255
28,26735983.726783004
29,27148284.120416384
30,26819319.580495186
31,28402543.014095627
32,26892026.871665627
33,26238499.84438004
34,27753625.77304948
35,27795687.191655528
36,26797338.216004793
37,26723444.838333387
38,26274300.539121035
39,27371552.48173438
40,27105103.32821433
41,28158468.938452046
42,26081756.153554935
43,28229239.51648106
44,27942617.43404975
45,26956579.84657527
46,27257103.120755993
47,27314897.10394929
48,27544173.352596346
49,27537279.706491947
50,27197666.826661073
51,26583496.0526528
52,27062014.137800664
53,26629253.733081777
54,27483284.00574331
55,26533741.24331173
56,27526396.830409706
57,27140415.154000174
58,27728566.045005012
59,26927136.86244331
60,25781535.67422087
61,26879940.18349185
62,27396866.927922953
63,28492348.367633756
64,28175526.398066275
65,26657153.976057045
66,25462199.531609874
67,26124967.74676232
68,26515668.23954914
69,28618214.16725851
70,26319039.64277382
71,26950388.489269152
72,27286726.21264611
73,26447225.34108536
74,27002944.525494773
75,27141348.134795554
76,27361815.568779446
77,27386755.514668435
78,27410544.46457407
79,27228963.65539409
80,28232977.048440315
81,26957062.746980842
82,25965588.12148253
83,26164896.87062796
84,26844531.18079507
85,26558054.90538998
86,27213202.107310493
87,27122696.228943907
88,27816038.027841214
89,25789692.786324657
90,28011876.004181635
91,27243728.19926448
92,26124441.0241128
93,26449533.094832532
94,27614026.171337638
95,26892408.600639604
96,27746805.646834053
97,27142387.03140794
98,27123234.85219602
99,26075675.67051527
100,27033114.26974863
101,25968431.80635472
102,26596920.404347006
103,27060753.021258883
104,27655470.33877836
105,27141800.12541365
106,26072874.19990301
107,26456939.67199247
108,27073151.925029945
109,26827458.07782619
110,27792780.264870416
111,26873123.524043262
112,26476079.444009513
113,25914879.944418576
114,27063209.632311065
115,26556401.45171197
116,27247909.85607747
117,25888114.501551647
118,28053968.791607257
119,27652321.463796023
120,27161671.125123322
121,26895867.336313188
122,26635883.30071135
123,25526918.794756413
124,26576541.798574977
125,27554205.616161972
126,27310099.338237327
127,27741839.98507621
128,27347442.374642197
129,26508214.3664338
130,27049805.604065094
131,28023610.409676466
132,26861755.21720177
133,26868807.95267533
134,27239289.50895012
135,27165525.452001486
136,27008415.797851156
137,26858265.37510144
138,28141986.988401443
