Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0014"
"0.0200","0.0000","-0.0014"
"0.0400","0.0000","-0.0013"
"0.0600","0.0001","-0.0012"
"0.0800","0.0001","-0.0010"
"0.1000","0.0002","-0.0007"
"0.1200","0.0003","-0.0004"
"0.1400","0.0004","-0.0001"
"0.1600","0.0005","0.0004"
"0.1800","0.0007","0.0008"
"0.2000","0.0008","0.0014"
"0.2200","0.0010","0.0022"
"0.2400","0.0013","0.0030"
"0.2600","0.0015","0.0040"
"0.2800","0.0018","0.0050"
"0.3000","0.0022","0.0062"
"0.3200","0.0026","0.0077"
"0.3400","0.0030","0.0092"
"0.3600","0.0035","0.0111"
"0.3800","0.0041","0.0132"
"0.4000","0.0048","0.0158"
"0.4200","0.0056","0.0187"
"0.4400","0.0065","0.0221"
"0.4600","0.0075","0.0257"
"0.4800","0.0086","0.0296"
"0.5000","0.0097","0.0335"
"0.5200","0.0108","0.0373"
"0.5400","0.0119","0.0415"
"0.5600","0.0132","0.0459"
"0.5800","0.0145","0.0507"
"0.6000","0.0158","0.0558"
"0.6200","0.0171","0.0609"
"0.6400","0.0184","0.0658"
"0.6600","0.0196","0.0702"
"0.6800","0.0207","0.0742"
"0.7000","0.0218","0.0784"
"0.7200","0.0230","0.0833"
"0.7400","0.0242","0.0884"
"0.7600","0.0255","0.0939"
"0.7800","0.0267","0.0991"
"0.8000","0.0279","0.1038"
"0.8200","0.0290","0.1081"
"0.8400","0.0300","0.1122"
"0.8600","0.0310","0.1166"
"0.8800","0.0320","0.1216"
"0.9000","0.0332","0.1269"
"0.9200","0.0343","0.1320"
"0.9400","0.0354","0.1370"
"0.9600","0.0364","0.1417"
"0.9800","0.0374","0.1464"
"1.0000","0.0384","0.1514"
"1.0200","0.0395","0.1564"
"1.0400","0.0405","0.1616"
"1.0600","0.0416","0.1670"
"1.0800","0.0426","0.1726"
"1.1000","0.0436","0.1776"
"1.1200","0.0445","0.1821"
"1.1400","0.0454","0.1867"
"1.1600","0.0463","0.1911"
"1.1800","0.0472","0.1959"
"1.2000","0.0481","0.2010"
"1.2200","0.0491","0.2061"
"1.2400","0.0499","0.2108"
"1.2600","0.0508","0.2152"
"1.2800","0.0516","0.2199"
"1.3000","0.0525","0.2246"
"1.3200","0.0533","0.2290"
"1.3400","0.0540","0.2329"
"1.3600","0.0547","0.2370"
"1.3800","0.0555","0.2418"
"1.4000","0.0563","0.2468"
"1.4200","0.0571","0.2519"
"1.4400","0.0579","0.2568"
"1.4600","0.0587","0.2615"
"1.4800","0.0594","0.2656"
"1.5000","0.0601","0.2692"
"1.5200","0.0607","0.2727"
"1.5400","0.0614","0.2765"
"1.5600","0.0620","0.2805"
"1.5800","0.0627","0.2848"
"1.6000","0.0633","0.2889"
"1.6200","0.0640","0.2932"
"1.6400","0.0647","0.2979"
"1.6600","0.0654","0.3031"
"1.6800","0.0661","0.3082"
"1.7000","0.0668","0.3132"
"1.7200","0.0675","0.3181"
"1.7400","0.0682","0.3228"
"1.7600","0.0688","0.3272"
"1.7800","0.0695","0.3311"
"1.8000","0.0700","0.3348"
"1.8200","0.0706","0.3386"
"1.8400","0.0712","0.3428"
"1.8600","0.0718","0.3474"
"1.8800","0.0725","0.3521"
"1.9000","0.0731","0.3568"
"1.9200","0.0737","0.3612"
"1.9400","0.0742","0.3652"
"1.9600","0.0748","0.3694"
"1.9800","0.0754","0.3738"
"2.0000","0.0760","0.3781"
"2.0200","0.0765","0.3822"
"2.0400","0.0771","0.3862"
"2.0600","0.0776","0.3902"
"2.0800","0.0782","0.3944"
"2.1000","0.0787","0.3985"
"2.1200","0.0792","0.4023"
"2.1400","0.0797","0.4060"
"2.1600","0.0802","0.4095"
"2.1800","0.0806","0.4131"
"2.2000","0.0811","0.4172"
"2.2200","0.0817","0.4213"
"2.2400","0.0822","0.4257"
"2.2600","0.0827","0.4302"
"2.2800","0.0833","0.4347"
"2.3000","0.0838","0.4387"
"2.3200","0.0843","0.4427"
"2.3400","0.0848","0.4472"
"2.3600","0.0853","0.4521"
"2.3800","0.0858","0.4567"
"2.4000","0.0863","0.4612"
"2.4200","0.0868","0.4652"
"2.4400","0.0873","0.4694"
"2.4600","0.0878","0.4737"
"2.4800","0.0883","0.4780"
"2.5000","0.0888","0.4820"
"2.5200","0.0893","0.4859"
"2.5400","0.0897","0.4896"
"2.5600","0.0901","0.4931"
"2.5800","0.0906","0.4966"
"2.6000","0.0910","0.5003"
"2.6200","0.0915","0.5044"
"2.6400","0.0919","0.5090"
"2.6600","0.0924","0.5137"
"2.6800","0.0929","0.5180"
"2.7000","0.0933","0.5221"
"2.7200","0.0938","0.5262"
"2.7400","0.0942","0.5304"
"2.7600","0.0947","0.5349"
"2.7800","0.0952","0.5399"
"2.8000","0.0957","0.5451"
"2.8200","0.0962","0.5500"
"2.8400","0.0967","0.5546"
"2.8600","0.0971","0.5589"
"2.8800","0.0976","0.5633"
"2.9000","0.0980","0.5675"
"2.9200","0.0985","0.5718"
"2.9400","0.0989","0.5757"
"2.9600","0.0993","0.5794"
"2.9800","0.0997","0.5829"
"3.0000","0.1001","0.5864"
"3.0200","0.1005","0.5900"
"3.0400","0.1009","0.5939"
"3.0600","0.1013","0.5981"
"3.0800","0.1017","0.6027"
"3.1000","0.1022","0.6075"
"3.1200","0.1026","0.6122"
"3.1400","0.1031","0.6167"
"3.1600","0.1035","0.6212"
"3.1800","0.1039","0.6255"
"3.2000","0.1043","0.6298"
"3.2200","0.1048","0.6344"
"3.2400","0.1052","0.6390"
"3.2600","0.1056","0.6434"
"3.2800","0.1060","0.6475"
"3.3000","0.1064","0.6513"
"3.3200","0.1068","0.6552"
"3.3400","0.1072","0.6589"
"3.3600","0.1075","0.6627"
"3.3800","0.1079","0.6665"
"3.4000","0.1083","0.6702"
"3.4200","0.1086","0.6738"
"3.4400","0.1090","0.6772"
"3.4600","0.1093","0.6808"
"3.4800","0.1097","0.6845"
"3.5000","0.1100","0.6880"
"3.5200","0.1104","0.6917"
"3.5400","0.1107","0.6957"
"3.5600","0.1111","0.7001"
"3.5800","0.1115","0.7048"
"3.6000","0.1119","0.7098"
"3.6200","0.1123","0.7148"
"3.6400","0.1127","0.7196"
"3.6600","0.1131","0.7241"
"3.6800","0.1135","0.7281"
"3.7000","0.1139","0.7318"
"3.7200","0.1142","0.7355"
"3.7400","0.1146","0.7393"
"3.7600","0.1149","0.7434"
"3.7800","0.1153","0.7474"
"3.8000","0.1156","0.7515"
"3.8200","0.1160","0.7555"
"3.8400","0.1163","0.7592"
"3.8600","0.1167","0.7628"
"3.8800","0.1170","0.7663"
"3.9000","0.1173","0.7700"
"3.9200","0.1176","0.7737"
"3.9400","0.1180","0.7775"
"3.9600","0.1183","0.7813"
"3.9800","0.1186","0.7852"
"4.0000","0.1190","0.7893"
"4.0200","0.1193","0.7932"
"4.0400","0.1197","0.7971"
"4.0600","0.1200","0.8009"
"4.0800","0.1203","0.8047"
"4.1000","0.1206","0.8086"
"4.1200","0.1210","0.8127"
"4.1400","0.1213","0.8168"
"4.1600","0.1216","0.8211"
"4.1800","0.1220","0.8253"
"4.2000","0.1223","0.8296"
"4.2200","0.1227","0.8337"
"4.2400","0.1230","0.8376"
"4.2600","0.1233","0.8412"
"4.2800","0.1236","0.8447"
"4.3000","0.1239","0.8482"
"4.3200","0.1242","0.8517"
"4.3400","0.1245","0.8556"
"4.3600","0.1248","0.8597"
"4.3800","0.1252","0.8640"
"4.4000","0.1255","0.8682"
"4.4200","0.1258","0.8723"
"4.4400","0.1261","0.8763"
"4.4600","0.1264","0.8802"
"4.4800","0.1268","0.8842"
"4.5000","0.1271","0.8883"
"4.5200","0.1274","0.8927"
"4.5400","0.1277","0.8972"
"4.5600","0.1281","0.9017"
"4.5800","0.1284","0.9062"
"4.6000","0.1287","0.9107"
"4.6200","0.1291","0.9149"
"4.6400","0.1294","0.9191"
