Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0006"
"0.0200","0.0000","-0.0007"
"0.0400","0.0000","-0.0007"
"0.0600","0.0000","-0.0007"
"0.0800","0.0000","-0.0007"
"0.1000","0.0000","-0.0007"
"0.1200","0.0000","-0.0007"
"0.1400","0.0000","-0.0006"
"0.1600","0.0001","-0.0006"
"0.1800","0.0001","-0.0007"
"0.2000","0.0001","-0.0007"
"0.2200","0.0001","-0.0007"
"0.2400","0.0001","-0.0007"
"0.2600","0.0001","-0.0007"
"0.2800","0.0002","-0.0006"
"0.3000","0.0002","-0.0006"
"0.3200","0.0002","-0.0006"
"0.3400","0.0003","-0.0005"
"0.3600","0.0003","-0.0004"
"0.3800","0.0004","-0.0003"
"0.4000","0.0005","-0.0003"
"0.4200","0.0006","-0.0001"
"0.4400","0.0007","0.0000"
"0.4600","0.0008","0.0002"
"0.4800","0.0009","0.0004"
"0.5000","0.0011","0.0007"
"0.5200","0.0013","0.0008"
"0.5400","0.0015","0.0011"
"0.5600","0.0018","0.0014"
"0.5800","0.0021","0.0017"
"0.6000","0.0024","0.0020"
"0.6200","0.0027","0.0024"
"0.6400","0.0032","0.0028"
"0.6600","0.0036","0.0032"
"0.6800","0.0041","0.0037"
"0.7000","0.0046","0.0042"
"0.7200","0.0052","0.0047"
"0.7400","0.0058","0.0052"
"0.7600","0.0065","0.0058"
"0.7800","0.0072","0.0065"
"0.8000","0.0081","0.0073"
"0.8200","0.0091","0.0080"
"0.8400","0.0101","0.0087"
"0.8600","0.0112","0.0095"
"0.8800","0.0123","0.0101"
"0.9000","0.0134","0.0108"
"0.9200","0.0146","0.0116"
"0.9400","0.0159","0.0124"
"0.9600","0.0173","0.0132"
"0.9800","0.0189","0.0142"
"1.0000","0.0205","0.0151"
"1.0200","0.0221","0.0158"
"1.0400","0.0237","0.0167"
"1.0600","0.0255","0.0177"
"1.0800","0.0275","0.0188"
"1.1000","0.0296","0.0199"
"1.1200","0.0317","0.0210"
"1.1400","0.0338","0.0221"
"1.1600","0.0361","0.0233"
"1.1800","0.0384","0.0245"
"1.2000","0.0409","0.0258"
"1.2200","0.0434","0.0272"
"1.2400","0.0460","0.0285"
"1.2600","0.0486","0.0300"
"1.2800","0.0514","0.0315"
"1.3000","0.0541","0.0330"
"1.3200","0.0568","0.0345"
"1.3400","0.0595","0.0361"
"1.3600","0.0622","0.0376"
"1.3800","0.0648","0.0390"
"1.4000","0.0674","0.0405"
"1.4200","0.0700","0.0422"
"1.4400","0.0727","0.0439"
"1.4600","0.0755","0.0456"
"1.4800","0.0782","0.0473"
"1.5000","0.0809","0.0490"
"1.5200","0.0835","0.0506"
"1.5400","0.0860","0.0521"
"1.5600","0.0886","0.0539"
"1.5800","0.0912","0.0556"
"1.6000","0.0936","0.0572"
"1.6200","0.0960","0.0587"
"1.6400","0.0984","0.0605"
"1.6600","0.1010","0.0624"
"1.6800","0.1034","0.0642"
"1.7000","0.1059","0.0662"
"1.7200","0.1085","0.0683"
"1.7400","0.1109","0.0700"
"1.7600","0.1133","0.0718"
"1.7800","0.1157","0.0738"
"1.8000","0.1180","0.0757"
"1.8200","0.1202","0.0774"
"1.8400","0.1223","0.0790"
"1.8600","0.1244","0.0807"
"1.8800","0.1263","0.0824"
"1.9000","0.1282","0.0839"
"1.9200","0.1301","0.0856"
"1.9400","0.1321","0.0873"
"1.9600","0.1340","0.0890"
"1.9800","0.1358","0.0907"
"2.0000","0.1376","0.0923"
"2.0200","0.1393","0.0941"
"2.0400","0.1411","0.0958"
"2.0600","0.1427","0.0972"
"2.0800","0.1442","0.0984"
"2.1000","0.1457","0.0998"
"2.1200","0.1472","0.1014"
"2.1400","0.1488","0.1031"
"2.1600","0.1503","0.1047"
"2.1800","0.1517","0.1061"
"2.2000","0.1530","0.1072"
"2.2200","0.1543","0.1084"
"2.2400","0.1555","0.1096"
"2.2600","0.1568","0.1109"
"2.2800","0.1580","0.1124"
"2.3000","0.1593","0.1138"
"2.3200","0.1606","0.1153"
"2.3400","0.1618","0.1166"
"2.3600","0.1629","0.1178"
"2.3800","0.1641","0.1191"
"2.4000","0.1652","0.1205"
"2.4200","0.1663","0.1218"
"2.4400","0.1674","0.1232"
