Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0005"
"0.0200","0.0000","-0.0005"
"0.0400","0.0000","-0.0005"
"0.0600","0.0000","-0.0005"
"0.0800","0.0000","-0.0005"
"0.1000","0.0000","-0.0004"
"0.1200","0.0001","-0.0005"
"0.1400","0.0001","-0.0004"
"0.1600","0.0001","-0.0004"
"0.1800","0.0001","-0.0003"
"0.2000","0.0001","-0.0003"
"0.2200","0.0001","-0.0003"
"0.2400","0.0001","-0.0002"
"0.2600","0.0001","-0.0002"
"0.2800","0.0002","-0.0003"
"0.3000","0.0002","-0.0003"
"0.3200","0.0002","-0.0003"
"0.3400","0.0002","-0.0002"
"0.3600","0.0003","-0.0001"
"0.3800","0.0003","0.0000"
"0.4000","0.0004","0.0001"
"0.4200","0.0005","0.0003"
"0.4400","0.0005","0.0005"
"0.4600","0.0006","0.0007"
"0.4800","0.0007","0.0009"
"0.5000","0.0009","0.0013"
"0.5200","0.0010","0.0016"
"0.5400","0.0012","0.0020"
"0.5600","0.0015","0.0024"
"0.5800","0.0017","0.0029"
"0.6000","0.0020","0.0035"
"0.6200","0.0024","0.0041"
"0.6400","0.0027","0.0048"
"0.6600","0.0032","0.0055"
"0.6800","0.0036","0.0063"
"0.7000","0.0042","0.0072"
"0.7200","0.0047","0.0081"
"0.7400","0.0052","0.0090"
"0.7600","0.0058","0.0099"
"0.7800","0.0064","0.0107"
"0.8000","0.0070","0.0114"
"0.8200","0.0075","0.0122"
"0.8400","0.0081","0.0129"
"0.8600","0.0087","0.0136"
"0.8800","0.0094","0.0144"
"0.9000","0.0101","0.0153"
"0.9200","0.0109","0.0164"
"0.9400","0.0118","0.0175"
"0.9600","0.0128","0.0185"
"0.9800","0.0137","0.0193"
"1.0000","0.0147","0.0202"
"1.0200","0.0157","0.0211"
"1.0400","0.0167","0.0219"
"1.0600","0.0177","0.0228"
"1.0800","0.0188","0.0238"
"1.1000","0.0199","0.0249"
"1.1200","0.0212","0.0261"
"1.1400","0.0225","0.0272"
"1.1600","0.0239","0.0283"
"1.1800","0.0253","0.0296"
"1.2000","0.0268","0.0311"
"1.2200","0.0284","0.0326"
"1.2400","0.0300","0.0339"
"1.2600","0.0316","0.0352"
"1.2800","0.0332","0.0366"
"1.3000","0.0349","0.0383"
"1.3200","0.0367","0.0401"
"1.3400","0.0386","0.0418"
"1.3600","0.0404","0.0435"
"1.3800","0.0423","0.0454"
"1.4000","0.0443","0.0473"
"1.4200","0.0463","0.0492"
"1.4400","0.0483","0.0511"
"1.4600","0.0501","0.0528"
"1.4800","0.0520","0.0546"
"1.5000","0.0538","0.0563"
"1.5200","0.0557","0.0581"
"1.5400","0.0575","0.0600"
"1.5600","0.0592","0.0615"
"1.5800","0.0609","0.0629"
"1.6000","0.0624","0.0643"
"1.6200","0.0640","0.0658"
"1.6400","0.0656","0.0676"
"1.6600","0.0673","0.0694"
"1.6800","0.0690","0.0709"
"1.7000","0.0705","0.0724"
"1.7200","0.0721","0.0738"
"1.7400","0.0737","0.0755"
"1.7600","0.0753","0.0773"
"1.7800","0.0768","0.0791"
"1.8000","0.0783","0.0804"
"1.8200","0.0796","0.0815"
"1.8400","0.0809","0.0827"
"1.8600","0.0822","0.0842"
"1.8800","0.0836","0.0858"
"1.9000","0.0850","0.0875"
"1.9200","0.0864","0.0890"
"1.9400","0.0877","0.0902"
"1.9600","0.0888","0.0911"
"1.9800","0.0899","0.0920"
"2.0000","0.0910","0.0932"
"2.0200","0.0922","0.0948"
"2.0400","0.0934","0.0962"
"2.0600","0.0946","0.0976"
"2.0800","0.0957","0.0988"
"2.1000","0.0968","0.1001"
"2.1200","0.0979","0.1013"
"2.1400","0.0990","0.1026"
"2.1600","0.1001","0.1039"
"2.1800","0.1012","0.1054"
"2.2000","0.1024","0.1069"
"2.2200","0.1035","0.1080"
"2.2400","0.1046","0.1092"
"2.2600","0.1056","0.1102"
"2.2800","0.1066","0.1115"
"2.3000","0.1076","0.1128"
"2.3200","0.1086","0.1140"
"2.3400","0.1096","0.1152"
"2.3600","0.1106","0.1164"
"2.3800","0.1115","0.1176"
"2.4000","0.1125","0.1186"
"2.4200","0.1133","0.1194"
"2.4400","0.1142","0.1203"
"2.4600","0.1150","0.1213"
"2.4800","0.1159","0.1224"
"2.5000","0.1168","0.1236"
"2.5200","0.1177","0.1249"
"2.5400","0.1185","0.1258"
