Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0002"
"0.0200","0.0000","-0.0002"
"0.0400","0.0001","0.0001"
"0.0600","0.0001","0.0003"
"0.0800","0.0001","0.0004"
"0.1000","0.0001","0.0003"
"0.1200","0.0002","0.0004"
"0.1400","0.0002","0.0004"
"0.1600","0.0002","0.0005"
"0.1800","0.0002","0.0006"
"0.2000","0.0003","0.0008"
"0.2200","0.0003","0.0009"
"0.2400","0.0003","0.0011"
"0.2600","0.0004","0.0011"
"0.2800","0.0004","0.0011"
"0.3000","0.0004","0.0013"
"0.3200","0.0005","0.0014"
"0.3400","0.0005","0.0015"
"0.3600","0.0005","0.0017"
"0.3800","0.0006","0.0018"
"0.4000","0.0006","0.0019"
"0.4200","0.0007","0.0021"
"0.4400","0.0007","0.0023"
"0.4600","0.0008","0.0025"
"0.4800","0.0008","0.0026"
"0.5000","0.0009","0.0028"
"0.5200","0.0009","0.0029"
"0.5400","0.0010","0.0032"
"0.5600","0.0010","0.0034"
"0.5800","0.0011","0.0037"
"0.6000","0.0012","0.0040"
"0.6200","0.0012","0.0041"
"0.6400","0.0013","0.0044"
"0.6600","0.0014","0.0047"
"0.6800","0.0014","0.0049"
"0.7000","0.0015","0.0053"
"0.7200","0.0016","0.0056"
"0.7400","0.0017","0.0059"
"0.7600","0.0018","0.0062"
"0.7800","0.0018","0.0065"
"0.8000","0.0019","0.0068"
"0.8200","0.0020","0.0072"
"0.8400","0.0021","0.0076"
"0.8600","0.0022","0.0079"
"0.8800","0.0023","0.0081"
"0.9000","0.0024","0.0086"
"0.9200","0.0025","0.0090"
"0.9400","0.0027","0.0095"
"0.9600","0.0028","0.0099"
"0.9800","0.0029","0.0103"
"1.0000","0.0030","0.0108"
"1.0200","0.0031","0.0111"
"1.0400","0.0033","0.0116"
"1.0600","0.0034","0.0123"
"1.0800","0.0035","0.0128"
"1.1000","0.0037","0.0134"
"1.1200","0.0039","0.0140"
"1.1400","0.0040","0.0148"
"1.1600","0.0042","0.0155"
"1.1800","0.0044","0.0164"
"1.2000","0.0047","0.0174"
"1.2200","0.0049","0.0185"
"1.2400","0.0052","0.0199"
"1.2600","0.0056","0.0212"
"1.2800","0.0059","0.0225"
"1.3000","0.0062","0.0237"
"1.3200","0.0066","0.0250"
"1.3400","0.0069","0.0264"
"1.3600","0.0072","0.0277"
"1.3800","0.0076","0.0292"
"1.4000","0.0080","0.0308"
"1.4200","0.0084","0.0327"
"1.4400","0.0089","0.0346"
"1.4600","0.0093","0.0365"
"1.4800","0.0098","0.0383"
"1.5000","0.0102","0.0401"
"1.5200","0.0107","0.0419"
"1.5400","0.0111","0.0437"
"1.5600","0.0115","0.0453"
"1.5800","0.0119","0.0467"
"1.6000","0.0123","0.0480"
"1.6200","0.0127","0.0494"
"1.6400","0.0130","0.0506"
"1.6600","0.0133","0.0519"
"1.6800","0.0137","0.0532"
"1.7000","0.0140","0.0546"
"1.7200","0.0144","0.0560"
"1.7400","0.0148","0.0575"
"1.7600","0.0151","0.0589"
"1.7800","0.0155","0.0605"
"1.8000","0.0159","0.0621"
"1.8200","0.0163","0.0638"
"1.8400","0.0167","0.0653"
"1.8600","0.0171","0.0667"
"1.8800","0.0175","0.0683"
"1.9000","0.0179","0.0699"
"1.9200","0.0184","0.0716"
"1.9400","0.0188","0.0733"
"1.9600","0.0192","0.0747"
"1.9800","0.0196","0.0759"
"2.0000","0.0199","0.0771"
"2.0200","0.0203","0.0783"
"2.0400","0.0206","0.0793"
"2.0600","0.0210","0.0805"
"2.0800","0.0213","0.0816"
"2.1000","0.0216","0.0826"
"2.1200","0.0219","0.0835"
"2.1400","0.0222","0.0845"
"2.1600","0.0226","0.0855"
"2.1800","0.0229","0.0865"
"2.2000","0.0232","0.0874"
"2.2200","0.0235","0.0883"
"2.2400","0.0238","0.0894"
"2.2600","0.0241","0.0906"
"2.2800","0.0245","0.0921"
"2.3000","0.0249","0.0936"
"2.3200","0.0254","0.0953"
"2.3400","0.0258","0.0971"
"2.3600","0.0263","0.0988"
"2.3800","0.0267","0.1002"
"2.4000","0.0271","0.1013"
"2.4200","0.0275","0.1025"
"2.4400","0.0279","0.1037"
"2.4600","0.0283","0.1049"
"2.4800","0.0286","0.1062"
"2.5000","0.0290","0.1073"
"2.5200","0.0294","0.1083"
"2.5400","0.0297","0.1092"
"2.5600","0.0301","0.1103"
"2.5800","0.0304","0.1112"
"2.6000","0.0307","0.1122"
"2.6200","0.0310","0.1133"
"2.6400","0.0314","0.1144"
"2.6600","0.0317","0.1155"
"2.6800","0.0321","0.1167"
"2.7000","0.0324","0.1178"
"2.7200","0.0328","0.1189"
"2.7400","0.0331","0.1199"
"2.7600","0.0334","0.1209"
"2.7800","0.0338","0.1221"
"2.8000","0.0341","0.1233"
"2.8200","0.0345","0.1246"
"2.8400","0.0348","0.1259"
"2.8600","0.0352","0.1274"
"2.8800","0.0356","0.1287"
"2.9000","0.0360","0.1301"
"2.9200","0.0363","0.1312"
"2.9400","0.0366","0.1320"
"2.9600","0.0369","0.1328"
"2.9800","0.0372","0.1337"
"3.0000","0.0375","0.1347"
"3.0200","0.0379","0.1358"
"3.0400","0.0382","0.1370"
"3.0600","0.0385","0.1383"
"3.0800","0.0389","0.1395"
"3.1000","0.0392","0.1406"
"3.1200","0.0395","0.1418"
"3.1400","0.0399","0.1431"
"3.1600","0.0402","0.1445"
"3.1800","0.0406","0.1459"
"3.2000","0.0409","0.1474"
"3.2200","0.0413","0.1490"
"3.2400","0.0417","0.1505"
"3.2600","0.0421","0.1520"
"3.2800","0.0425","0.1534"
"3.3000","0.0428","0.1546"
"3.3200","0.0432","0.1557"
"3.3400","0.0435","0.1568"
"3.3600","0.0438","0.1578"
"3.3800","0.0441","0.1590"
"3.4000","0.0444","0.1602"
"3.4200","0.0448","0.1614"
"3.4400","0.0451","0.1627"
"3.4600","0.0454","0.1641"
"3.4800","0.0458","0.1653"
"3.5000","0.0461","0.1663"
"3.5200","0.0464","0.1673"
"3.5400","0.0466","0.1681"
"3.5600","0.0469","0.1689"
"3.5800","0.0472","0.1697"
"3.6000","0.0474","0.1705"
"3.6200","0.0477","0.1715"
"3.6400","0.0479","0.1725"
"3.6600","0.0482","0.1736"
"3.6800","0.0485","0.1748"
"3.7000","0.0488","0.1761"
"3.7200","0.0491","0.1774"
"3.7400","0.0494","0.1786"
"3.7600","0.0497","0.1798"
"3.7800","0.0500","0.1810"
"3.8000","0.0503","0.1822"
"3.8200","0.0505","0.1835"
"3.8400","0.0508","0.1846"
"3.8600","0.0511","0.1859"
"3.8800","0.0514","0.1871"
"3.9000","0.0517","0.1883"
"3.9200","0.0520","0.1893"
"3.9400","0.0522","0.1903"
"3.9600","0.0525","0.1912"
"3.9800","0.0527","0.1920"
"4.0000","0.0530","0.1928"
"4.0200","0.0532","0.1935"
"4.0400","0.0534","0.1942"
"4.0600","0.0536","0.1950"
"4.0800","0.0538","0.1958"
"4.1000","0.0540","0.1966"
"4.1200","0.0543","0.1975"
"4.1400","0.0545","0.1986"
"4.1600","0.0547","0.1996"
"4.1800","0.0550","0.2006"
"4.2000","0.0552","0.2017"
"4.2200","0.0555","0.2028"
"4.2400","0.0557","0.2040"
"4.2600","0.0559","0.2052"
"4.2800","0.0562","0.2062"
"4.3000","0.0564","0.2071"
"4.3200","0.0567","0.2081"
"4.3400","0.0569","0.2091"
"4.3600","0.0571","0.2101"
"4.3800","0.0573","0.2112"
"4.4000","0.0576","0.2123"
"4.4200","0.0579","0.2137"
"4.4400","0.0581","0.2152"
"4.4600","0.0584","0.2167"
"4.4800","0.0587","0.2183"
"4.5000","0.0590","0.2197"
"4.5200","0.0593","0.2209"
"4.5400","0.0595","0.2221"
"4.5600","0.0598","0.2233"
"4.5800","0.0600","0.2244"
"4.6000","0.0603","0.2254"
"4.6200","0.0605","0.2266"
"4.6400","0.0608","0.2276"
"4.6600","0.0610","0.2286"
"4.6800","0.0612","0.2296"
"4.7000","0.0615","0.2306"
"4.7200","0.0617","0.2315"
"4.7400","0.0619","0.2325"
"4.7600","0.0621","0.2335"
"4.7800","0.0623","0.2344"
"4.8000","0.0625","0.2352"
"4.8200","0.0627","0.2360"
"4.8400","0.0629","0.2367"
"4.8600","0.0631","0.2375"
"4.8800","0.0633","0.2381"
"4.9000","0.0635","0.2389"
"4.9200","0.0636","0.2396"
"4.9400","0.0638","0.2404"
"4.9600","0.0640","0.2413"
"4.9800","0.0642","0.2423"
"5.0000","0.0644","0.2433"
"5.0200","0.0646","0.2445"
"5.0400","0.0648","0.2457"
"5.0600","0.0651","0.2467"
"5.0800","0.0653","0.2480"
"5.1000","0.0655","0.2493"
"5.1200","0.0657","0.2506"
"5.1400","0.0660","0.2517"
"5.1600","0.0662","0.2529"
"5.1800","0.0664","0.2540"
"5.2000","0.0666","0.2550"
"5.2200","0.0668","0.2560"
"5.2400","0.0670","0.2569"
"5.2600","0.0672","0.2578"
"5.2800","0.0674","0.2588"
"5.3000","0.0676","0.2599"
"5.3200","0.0678","0.2610"
"5.3400","0.0680","0.2622"
"5.3600","0.0683","0.2635"
"5.3800","0.0685","0.2647"
"5.4000","0.0687","0.2660"
"5.4200","0.0689","0.2673"
"5.4400","0.0692","0.2685"
"5.4600","0.0694","0.2696"
"5.4800","0.0696","0.2707"
"5.5000","0.0698","0.2717"
"5.5200","0.0700","0.2728"
"5.5400","0.0702","0.2740"
"5.5600","0.0704","0.2751"
"5.5800","0.0707","0.2762"
"5.6000","0.0709","0.2775"
"5.6200","0.0711","0.2786"
"5.6400","0.0713","0.2797"
"5.6600","0.0715","0.2809"
"5.6800","0.0717","0.2820"
"5.7000","0.0719","0.2831"
"5.7200","0.0721","0.2843"
"5.7400","0.0723","0.2853"
"5.7600","0.0725","0.2863"
"5.7800","0.0727","0.2872"
"5.8000","0.0729","0.2881"
"5.8200","0.0731","0.2890"
"5.8400","0.0733","0.2898"
"5.8600","0.0734","0.2906"
"5.8800","0.0736","0.2914"
"5.9000","0.0738","0.2922"
"5.9200","0.0739","0.2931"
"5.9400","0.0741","0.2940"
"5.9600","0.0743","0.2950"
"5.9800","0.0745","0.2961"
"6.0000","0.0747","0.2971"
"6.0200","0.0748","0.2982"
"6.0400","0.0750","0.2993"
"6.0600","0.0752","0.3004"
"6.0800","0.0754","0.3016"
"6.1000","0.0756","0.3028"
"6.1200","0.0758","0.3039"
"6.1400","0.0760","0.3050"
"6.1600","0.0762","0.3061"
"6.1800","0.0764","0.3071"
"6.2000","0.0766","0.3080"
"6.2200","0.0767","0.3088"
"6.2400","0.0769","0.3097"
"6.2600","0.0771","0.3106"
"6.2800","0.0772","0.3114"
"6.3000","0.0774","0.3123"
"6.3200","0.0776","0.3132"
"6.3400","0.0777","0.3143"
"6.3600","0.0779","0.3154"
"6.3800","0.0781","0.3165"
"6.4000","0.0783","0.3177"
"6.4200","0.0785","0.3189"
"6.4400","0.0787","0.3201"
"6.4600","0.0789","0.3213"
"6.4800","0.0791","0.3225"
"6.5000","0.0792","0.3236"
"6.5200","0.0794","0.3247"
"6.5400","0.0796","0.3257"
"6.5600","0.0798","0.3267"
"6.5800","0.0800","0.3277"
"6.6000","0.0801","0.3289"
"6.6200","0.0803","0.3300"
"6.6400","0.0805","0.3311"
"6.6600","0.0807","0.3322"
"6.6800","0.0809","0.3333"
"6.7000","0.0811","0.3345"
"6.7200","0.0812","0.3356"
"6.7400","0.0814","0.3366"
"6.7600","0.0816","0.3376"
"6.7800","0.0818","0.3387"
"6.8000","0.0819","0.3396"
"6.8200","0.0821","0.3405"
"6.8400","0.0823","0.3414"
"6.8600","0.0824","0.3422"
"6.8800","0.0826","0.3430"
"6.9000","0.0827","0.3437"
"6.9200","0.0829","0.3444"
"6.9400","0.0830","0.3450"
"6.9600","0.0831","0.3457"
"6.9800","0.0833","0.3464"
"7.0000","0.0834","0.3471"
"7.0200","0.0836","0.3478"
"7.0400","0.0837","0.3486"
"7.0600","0.0838","0.3493"
"7.0800","0.0840","0.3501"
"7.1000","0.0841","0.3510"
"7.1200","0.0843","0.3520"
"7.1400","0.0844","0.3531"
"7.1600","0.0846","0.3541"
"7.1800","0.0848","0.3553"
"7.2000","0.0849","0.3564"
"7.2200","0.0851","0.3575"
"7.2400","0.0853","0.3586"
"7.2600","0.0854","0.3599"
"7.2800","0.0856","0.3611"
"7.3000","0.0858","0.3623"
"7.3200","0.0859","0.3634"
"7.3400","0.0861","0.3645"
"7.3600","0.0863","0.3655"
"7.3800","0.0864","0.3663"
"7.4000","0.0866","0.3672"
"7.4200","0.0867","0.3681"
"7.4400","0.0869","0.3690"
"7.4600","0.0870","0.3699"
"7.4800","0.0872","0.3708"
"7.5000","0.0873","0.3718"
"7.5200","0.0875","0.3728"
"7.5400","0.0876","0.3738"
"7.5600","0.0878","0.3749"
"7.5800","0.0880","0.3761"
"7.6000","0.0882","0.3774"
"7.6200","0.0883","0.3787"
"7.6400","0.0885","0.3800"
"7.6600","0.0887","0.3813"
"7.6800","0.0889","0.3826"
"7.7000","0.0891","0.3839"
"7.7200","0.0892","0.3851"
"7.7400","0.0894","0.3862"
"7.7600","0.0896","0.3873"
"7.7800","0.0897","0.3883"
"7.8000","0.0899","0.3894"
"7.8200","0.0901","0.3904"
"7.8400","0.0902","0.3913"
"7.8600","0.0904","0.3922"
"7.8800","0.0905","0.3931"
"7.9000","0.0907","0.3942"
"7.9200","0.0908","0.3951"
"7.9400","0.0910","0.3961"
"7.9600","0.0911","0.3969"
"7.9800","0.0913","0.3977"
"8.0000","0.0914","0.3985"
"8.0200","0.0916","0.3994"
"8.0400","0.0917","0.4002"
"8.0600","0.0918","0.4009"
"8.0800","0.0920","0.4018"
"8.1000","0.0921","0.4026"
"8.1200","0.0923","0.4034"
"8.1400","0.0924","0.4041"
"8.1600","0.0925","0.4048"
"8.1800","0.0926","0.4055"
"8.2000","0.0928","0.4062"
"8.2200","0.0929","0.4069"
"8.2400","0.0930","0.4076"
"8.2600","0.0931","0.4083"
"8.2800","0.0933","0.4090"
"8.3000","0.0934","0.4097"
"8.3200","0.0935","0.4104"
"8.3400","0.0936","0.4112"
"8.3600","0.0938","0.4121"
"8.3800","0.0939","0.4129"
"8.4000","0.0940","0.4138"
"8.4200","0.0942","0.4147"
"8.4400","0.0943","0.4157"
"8.4600","0.0944","0.4167"
"8.4800","0.0946","0.4177"
"8.5000","0.0947","0.4188"
"8.5200","0.0949","0.4200"
"8.5400","0.0950","0.4211"
"8.5600","0.0952","0.4223"
"8.5800","0.0953","0.4235"
"8.6000","0.0955","0.4247"
"8.6200","0.0956","0.4258"
"8.6400","0.0958","0.4271"
"8.6600","0.0960","0.4283"
"8.6800","0.0961","0.4295"
"8.7000","0.0963","0.4307"
"8.7200","0.0964","0.4318"
"8.7400","0.0966","0.4329"
"8.7600","0.0967","0.4339"
"8.7800","0.0969","0.4350"
"8.8000","0.0970","0.4359"
"8.8200","0.0972","0.4370"
"8.8400","0.0973","0.4382"
"8.8600","0.0975","0.4393"
"8.8800","0.0976","0.4405"
"8.9000","0.0978","0.4418"
"8.9200","0.0980","0.4431"
"8.9400","0.0981","0.4444"
"8.9600","0.0983","0.4458"
"8.9800","0.0985","0.4472"
"9.0000","0.0987","0.4486"
"9.0200","0.0988","0.4498"
"9.0400","0.0990","0.4510"
"9.0600","0.0992","0.4522"
"9.0800","0.0993","0.4533"
"9.1000","0.0995","0.4543"
"9.1200","0.0996","0.4552"
"9.1400","0.0998","0.4562"
"9.1600","0.0999","0.4572"
"9.1800","0.1001","0.4581"
"9.2000","0.1002","0.4590"
"9.2200","0.1003","0.4599"
"9.2400","0.1005","0.4608"
"9.2600","0.1006","0.4617"
"9.2800","0.1008","0.4627"
"9.3000","0.1009","0.4636"
"9.3200","0.1010","0.4645"
"9.3400","0.1012","0.4655"
"9.3600","0.1013","0.4664"
"9.3800","0.1014","0.4673"
"9.4000","0.1016","0.4682"
"9.4200","0.1017","0.4691"
"9.4400","0.1019","0.4700"
"9.4600","0.1020","0.4709"
"9.4800","0.1021","0.4719"
"9.5000","0.1023","0.4729"
"9.5200","0.1024","0.4738"
"9.5400","0.1025","0.4747"
"9.5600","0.1027","0.4754"
"9.5800","0.1028","0.4763"
"9.6000","0.1029","0.4772"
"9.6200","0.1030","0.4780"
"9.6400","0.1032","0.4789"
"9.6600","0.1033","0.4798"
"9.6800","0.1034","0.4806"
"9.7000","0.1035","0.4814"
"9.7200","0.1037","0.4823"
"9.7400","0.1038","0.4833"
"9.7600","0.1039","0.4844"
"9.7800","0.1041","0.4854"
"9.8000","0.1042","0.4865"
"9.8200","0.1044","0.4877"
"9.8400","0.1045","0.4889"
"9.8600","0.1047","0.4901"
"9.8800","0.1048","0.4915"
"9.9000","0.1050","0.4929"
"9.9200","0.1051","0.4943"
"9.9400","0.1053","0.4956"
"9.9600","0.1055","0.4970"
"9.9800","0.1056","0.4984"
"10.0000","0.1058","0.4998"
"10.0200","0.1059","0.5011"
"10.0400","0.1061","0.5024"
"10.0600","0.1063","0.5035"
"10.0800","0.1064","0.5045"
"10.1000","0.1065","0.5055"
"10.1200","0.1067","0.5065"
"10.1400","0.1068","0.5074"
"10.1600","0.1070","0.5083"
"10.1800","0.1071","0.5091"
"10.2000","0.1072","0.5100"
"10.2200","0.1074","0.5108"
"10.2400","0.1075","0.5117"
"10.2600","0.1076","0.5125"
"10.2800","0.1077","0.5134"
"10.3000","0.1079","0.5145"
"10.3200","0.1080","0.5155"
"10.3400","0.1081","0.5164"
"10.3600","0.1083","0.5174"
"10.3800","0.1084","0.5184"
"10.4000","0.1086","0.5194"
"10.4200","0.1087","0.5204"
"10.4400","0.1088","0.5215"
"10.4600","0.1090","0.5224"
"10.4800","0.1091","0.5233"
"10.5000","0.1092","0.5241"
"10.5200","0.1093","0.5250"
"10.5400","0.1095","0.5259"
"10.5600","0.1096","0.5267"
"10.5800","0.1097","0.5276"
"10.6000","0.1098","0.5283"
"10.6200","0.1099","0.5291"
"10.6400","0.1101","0.5299"
"10.6600","0.1102","0.5307"
"10.6800","0.1103","0.5316"
"10.7000","0.1104","0.5325"
"10.7200","0.1105","0.5333"
"10.7400","0.1107","0.5342"
"10.7600","0.1108","0.5351"
"10.7800","0.1109","0.5361"
"10.8000","0.1110","0.5371"
"10.8200","0.1112","0.5380"
"10.8400","0.1113","0.5390"
"10.8600","0.1114","0.5400"
"10.8800","0.1116","0.5410"
"10.9000","0.1117","0.5420"
"10.9200","0.1118","0.5430"
"10.9400","0.1119","0.5441"
"10.9600","0.1121","0.5451"
"10.9800","0.1122","0.5462"
"11.0000","0.1123","0.5472"
"11.0200","0.1125","0.5482"
"11.0400","0.1126","0.5492"
"11.0600","0.1127","0.5502"
"11.0800","0.1128","0.5511"
"11.1000","0.1130","0.5521"
"11.1200","0.1131","0.5530"
"11.1400","0.1132","0.5539"
"11.1600","0.1133","0.5548"
"11.1800","0.1135","0.5558"
"11.2000","0.1136","0.5568"
"11.2200","0.1137","0.5578"
"11.2400","0.1139","0.5588"
"11.2600","0.1140","0.5598"
"11.2800","0.1141","0.5608"
"11.3000","0.1143","0.5620"
"11.3200","0.1144","0.5631"
"11.3400","0.1145","0.5643"
"11.3600","0.1147","0.5654"
"11.3800","0.1148","0.5667"
"11.4000","0.1149","0.5678"
"11.4200","0.1151","0.5689"
"11.4400","0.1152","0.5702"
"11.4600","0.1154","0.5714"
"11.4800","0.1155","0.5725"
"11.5000","0.1156","0.5736"
"11.5200","0.1158","0.5748"
"11.5400","0.1159","0.5759"
"11.5600","0.1161","0.5769"
"11.5800","0.1162","0.5779"
"11.6000","0.1163","0.5788"
"11.6200","0.1164","0.5797"
"11.6400","0.1166","0.5806"
"11.6600","0.1167","0.5815"
"11.6800","0.1168","0.5823"
"11.7000","0.1169","0.5830"
"11.7200","0.1171","0.5838"
"11.7400","0.1172","0.5846"
"11.7600","0.1173","0.5855"
"11.7800","0.1174","0.5864"
"11.8000","0.1175","0.5872"
"11.8200","0.1177","0.5882"
"11.8400","0.1178","0.5891"
"11.8600","0.1179","0.5902"
"11.8800","0.1181","0.5912"
"11.9000","0.1182","0.5922"
"11.9200","0.1183","0.5934"
"11.9400","0.1184","0.5944"
"11.9600","0.1186","0.5954"
"11.9800","0.1187","0.5964"
"12.0000","0.1188","0.5974"
"12.0200","0.1190","0.5985"
"12.0400","0.1191","0.5995"
"12.0600","0.1192","0.6004"
"12.0800","0.1193","0.6014"
"12.1000","0.1195","0.6023"
"12.1200","0.1196","0.6033"
"12.1400","0.1197","0.6042"
"12.1600","0.1198","0.6051"
"12.1800","0.1200","0.6061"
"12.2000","0.1201","0.6070"
"12.2200","0.1202","0.6080"
"12.2400","0.1204","0.6090"
"12.2600","0.1205","0.6101"
"12.2800","0.1206","0.6111"
"12.3000","0.1208","0.6122"
"12.3200","0.1209","0.6134"
"12.3400","0.1210","0.6145"
"12.3600","0.1212","0.6156"
"12.3800","0.1213","0.6167"
"12.4000","0.1214","0.6177"
"12.4200","0.1216","0.6188"
"12.4400","0.1217","0.6199"
"12.4600","0.1218","0.6210"
"12.4800","0.1220","0.6221"
"12.5000","0.1221","0.6232"
"12.5200","0.1222","0.6242"
"12.5400","0.1224","0.6252"
"12.5600","0.1225","0.6262"
"12.5800","0.1226","0.6271"
"12.6000","0.1228","0.6280"
"12.6200","0.1229","0.6290"
"12.6400","0.1230","0.6298"
"12.6600","0.1231","0.6307"
"12.6800","0.1233","0.6315"
"12.7000","0.1234","0.6324"
"12.7200","0.1235","0.6332"
"12.7400","0.1236","0.6340"
"12.7600","0.1237","0.6349"
"12.7800","0.1239","0.6358"
"12.8000","0.1240","0.6367"
"12.8200","0.1241","0.6376"
"12.8400","0.1242","0.6386"
"12.8600","0.1244","0.6396"
"12.8800","0.1245","0.6406"
"12.9000","0.1246","0.6416"
"12.9200","0.1247","0.6427"
"12.9400","0.1249","0.6437"
"12.9600","0.1250","0.6447"
"12.9800","0.1251","0.6459"
"13.0000","0.1253","0.6470"
"13.0200","0.1254","0.6481"
"13.0400","0.1255","0.6492"
"13.0600","0.1257","0.6503"
"13.0800","0.1258","0.6513"
"13.1000","0.1259","0.6523"
"13.1200","0.1261","0.6533"
"13.1400","0.1262","0.6543"
"13.1600","0.1263","0.6552"
"13.1800","0.1265","0.6561"
"13.2000","0.1266","0.6570"
"13.2200","0.1267","0.6578"
"13.2400","0.1268","0.6586"
"13.2600","0.1270","0.6594"
"13.2800","0.1271","0.6602"
"13.3000","0.1272","0.6610"
"13.3200","0.1273","0.6618"
"13.3400","0.1274","0.6626"
"13.3600","0.1276","0.6634"
"13.3800","0.1277","0.6644"
"13.4000","0.1278","0.6653"
"13.4200","0.1279","0.6664"
"13.4400","0.1281","0.6674"
"13.4600","0.1282","0.6685"
"13.4800","0.1283","0.6698"
"13.5000","0.1285","0.6709"
"13.5200","0.1286","0.6722"
"13.5400","0.1288","0.6734"
"13.5600","0.1289","0.6746"
"13.5800","0.1291","0.6758"
"13.6000","0.1292","0.6771"
"13.6200","0.1294","0.6783"
"13.6400","0.1295","0.6795"
"13.6600","0.1296","0.6806"
"13.6800","0.1298","0.6817"
"13.7000","0.1299","0.6828"
"13.7200","0.1301","0.6838"
"13.7400","0.1302","0.6850"
"13.7600","0.1304","0.6862"
"13.7800","0.1305","0.6873"
"13.8000","0.1307","0.6883"
"13.8200","0.1308","0.6894"
"13.8400","0.1309","0.6907"
"13.8600","0.1311","0.6917"
"13.8800","0.1312","0.6929"
"13.9000","0.1314","0.6940"
"13.9200","0.1315","0.6951"
"13.9400","0.1317","0.6961"
"13.9600","0.1318","0.6971"
"13.9800","0.1320","0.6982"
"14.0000","0.1321","0.6993"
"14.0200","0.1323","0.7002"
"14.0400","0.1324","0.7013"
"14.0600","0.1325","0.7022"
"14.0800","0.1327","0.7031"
"14.1000","0.1328","0.7039"
"14.1200","0.1330","0.7048"
"14.1400","0.1331","0.7055"
"14.1600","0.1332","0.7064"
"14.1800","0.1334","0.7072"
"14.2000","0.1335","0.7079"
"14.2200","0.1336","0.7086"
"14.2400","0.1337","0.7095"
"14.2600","0.1339","0.7103"
"14.2800","0.1340","0.7111"
"14.3000","0.1341","0.7119"
"14.3200","0.1343","0.7128"
"14.3400","0.1344","0.7138"
"14.3600","0.1346","0.7147"
"14.3800","0.1347","0.7157"
"14.4000","0.1348","0.7167"
"14.4200","0.1350","0.7178"
"14.4400","0.1351","0.7189"
"14.4600","0.1353","0.7200"
"14.4800","0.1354","0.7211"
"14.5000","0.1356","0.7223"
"14.5200","0.1357","0.7234"
"14.5400","0.1359","0.7244"
"14.5600","0.1360","0.7256"
"14.5800","0.1362","0.7267"
"14.6000","0.1363","0.7277"
"14.6200","0.1364","0.7285"
"14.6400","0.1366","0.7295"
"14.6600","0.1367","0.7303"
"14.6800","0.1369","0.7312"
"14.7000","0.1370","0.7321"
"14.7200","0.1372","0.7329"
"14.7400","0.1373","0.7337"
"14.7600","0.1374","0.7346"
"14.7800","0.1376","0.7355"
"14.8000","0.1377","0.7365"
"14.8200","0.1379","0.7376"
"14.8400","0.1380","0.7387"
"14.8600","0.1382","0.7400"
"14.8800","0.1383","0.7412"
"14.9000","0.1385","0.7425"
"14.9200","0.1387","0.7438"
"14.9400","0.1388","0.7451"
"14.9600","0.1390","0.7462"
